Results written: Sat Mar  7 07:47:32 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.02235527
Contributions  0.02235527
Restraints     0.00000000
Chi2           4.47934815
Reduced Chi2   0.01518423
Rw             0.14951680

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_ZR49_Phase0   8.28972600e-01 +/- 3.49429956e+13
x_ZR4_Phase0    9.97054571e-01 +/- 3.20684573e+13
x_ZR50_Phase0   6.66987459e-01 +/- 3.47512328e+13
x_ZR51_Phase0   3.32221272e-01 +/- 2.94343567e+13
x_ZR52_Phase0   3.36206725e-01 +/- 3.01744084e+13
x_ZR53_Phase0   6.63901710e-01 +/- 3.62420161e+13
x_ZR54_Phase0   6.61257692e-01 +/- 3.44365069e+13
x_ZR55_Phase0   3.37714567e-01 +/- 2.90883598e+13
x_ZR56_Phase0   8.35802859e-01 +/- 3.54150923e+13
x_ZR57_Phase0   1.64313636e-01 +/- 2.20987108e+13
x_ZR58_Phase0   1.61718198e-01 +/- 2.07946821e+13
x_ZR59_Phase0   8.38410574e-01 +/- 3.42163232e+13
x_ZR5_Phase0    2.67569170e-03 +/- 4.44684380e+11
x_ZR60_Phase0   5.34944344e-03 +/- 8.37963713e+11
x_ZR61_Phase0   9.94357862e-01 +/- 3.35461176e+13
x_ZR62_Phase0   4.98097477e-01 +/- 3.35222064e+13
x_ZR63_Phase0   5.02126560e-01 +/- 3.46510516e+13
x_ZR64_Phase0   9.98240780e-01 +/- 3.52274074e+13
x_ZR65_Phase0   2.05537379e-03 +/- 3.31638833e+11
x_ZR66_Phase0   5.05374596e-01 +/- 3.20342489e+13
x_ZR67_Phase0   4.94229749e-01 +/- 3.11296520e+13
x_ZR68_Phase0   1.61000393e-01 +/- 2.06874387e+13
x_ZR69_Phase0   8.39277808e-01 +/- 3.21377675e+13
x_ZR6_Phase0    5.00337115e-01 +/- 3.38414586e+13
x_ZR70_Phase0   6.59960807e-01 +/- 3.57081222e+13
x_ZR71_Phase0   3.40140418e-01 +/- 3.12647526e+13
x_ZR72_Phase0   3.40721824e-01 +/- 3.04779736e+13
x_ZR73_Phase0   6.59449185e-01 +/- 3.28827725e+13
x_ZR74_Phase0   8.41910404e-01 +/- 3.41082009e+13
x_ZR75_Phase0   1.58194961e-01 +/- 2.02070902e+13
x_ZR76_Phase0   3.33505810e-01 +/- 3.11073384e+13
x_ZR77_Phase0   6.66646363e-01 +/- 3.42698409e+13
x_ZR78_Phase0   6.68472663e-01 +/- 3.37722321e+13
x_ZR79_Phase0   3.31770523e-01 +/- 3.11725609e+13
x_ZR7_Phase0    4.99743755e-01 +/- 3.42305663e+13
x_ZR80_Phase0   8.32987757e-01 +/- 3.63698369e+13
x_ZR81_Phase0   1.67059669e-01 +/- 2.14658204e+13
x_ZR82_Phase0   1.69294523e-01 +/- 2.18491575e+13
x_ZR83_Phase0   8.30808934e-01 +/- 3.46738451e+13
x_ZR84_Phase0   1.64608489e-01 +/- 2.15393134e+13
x_ZR85_Phase0   8.35226599e-01 +/- 3.33779048e+13
x_ZR86_Phase0   3.35250811e-01 +/- 3.01794440e+13
x_ZR87_Phase0   6.65445978e-01 +/- 3.26586069e+13
x_ZR88_Phase0   8.35396491e-01 +/- 3.17324364e+13
x_ZR89_Phase0   1.64459298e-01 +/- 2.05733409e+13
x_ZR8_Phase0    4.93743421e-01 +/- 3.19118397e+13
x_ZR90_Phase0   6.63581891e-01 +/- 3.49073979e+13
x_ZR91_Phase0   3.36390465e-01 +/- 3.13960708e+13
x_ZR92_Phase0   1.73634896e-01 +/- 2.47238546e+13
x_ZR93_Phase0   8.26399964e-01 +/- 3.51746733e+13
x_ZR94_Phase0   6.67913421e-01 +/- 3.46860177e+13
x_ZR95_Phase0   3.32516798e-01 +/- 2.91283730e+13
x_ZR96_Phase0   3.26774868e-01 +/- 2.89382110e+13
x_ZR97_Phase0   6.73307620e-01 +/- 3.33073660e+13
x_ZR98_Phase0   8.29026726e-01 +/- 3.55086719e+13
x_ZR99_Phase0   1.71348022e-01 +/- 2.26166993e+13
x_ZR9_Phase0    5.06314011e-01 +/- 3.28403926e+13
y_O0_Phase0     3.47522231e-01 +/- 3.21796359e+13
y_O100_Phase0   8.71826918e-01 +/- 4.15638910e+13
y_O101_Phase0   1.28151053e-01 +/- 1.70361922e+13
y_O102_Phase0   1.29309102e-01 +/- 1.82947696e+13
y_O120_Phase0   4.34121333e-01 +/- 3.35335936e+13
y_O122_Phase0   5.73754023e-01 +/- 2.68059489e+13
y_O124_Phase0   9.34516993e-01 +/- 3.59692907e+13
y_O126_Phase0   6.50390240e-02 +/- 1.02179992e+13
y_O144_Phase0   2.71398745e-01 +/- 3.02247505e+13
y_O146_Phase0   7.28537809e-01 +/- 3.78248238e+13
y_O148_Phase0   7.69721646e-01 +/- 3.82941969e+13
y_O150_Phase0   2.28565035e-01 +/- 2.97767741e+13
y_O151_Phase0   7.71532957e-01 +/- 4.01011111e+13
y_O168_Phase0   1.90007350e-01 +/- 2.52707765e+13
y_O170_Phase0   8.09628654e-01 +/- 3.81901502e+13
y_O172_Phase0   6.90780759e-01 +/- 3.93704066e+13
y_O174_Phase0   3.08488099e-01 +/- 3.41601790e+13
y_O175_Phase0   6.90803659e-01 +/- 4.04470293e+13
y_O181_Phase0   7.41829946e-02 +/- 1.20959102e+13
y_O182_Phase0   5.75127967e-01 +/- 3.93517484e+13
y_O189_Phase0   8.68642011e-01 +/- 4.19483855e+13
y_O192_Phase0   4.03364368e-01 +/- 3.50959683e+13
y_O193_Phase0   5.96754079e-01 +/- 3.91444065e+13
y_O194_Phase0   5.97905183e-01 +/- 3.50538685e+13
y_O196_Phase0   9.03505889e-01 +/- 4.05692797e+13
y_O197_Phase0   9.64740300e-02 +/- 1.61815324e+13
y_O198_Phase0   9.89097769e-02 +/- 1.58839990e+13
y_O205_Phase0   2.19300981e-02 +/- 3.39163550e+12
y_O218_Phase0   6.60897217e-01 +/- 3.53117446e+13
y_O224_Phase0   3.15109108e-01 +/- 2.91447660e+13
y_O226_Phase0   6.82497263e-01 +/- 4.05176907e+13
y_O228_Phase0   8.17799824e-01 +/- 4.12992515e+13
y_O230_Phase0   1.84341533e-01 +/- 2.55494096e+13
y_O234_Phase0   3.40244349e-01 +/- 3.46115667e+13
y_O236_Phase0   8.39981499e-01 +/- 4.00910335e+13
y_O248_Phase0   1.71765985e-01 +/- 2.17769859e+13
y_O24_Phase0    4.31636391e-01 +/- 3.45626594e+13
y_O250_Phase0   8.28343257e-01 +/- 4.07460576e+13
y_O251_Phase0   1.71533760e-01 +/- 2.30100075e+13
y_O252_Phase0   6.69017106e-01 +/- 3.71691686e+13
y_O254_Phase0   3.28723977e-01 +/- 2.87324062e+13
y_O26_Phase0    5.69178342e-01 +/- 3.70963858e+13
y_O272_Phase0   1.73574403e-01 +/- 2.29380044e+13
y_O274_Phase0   8.28422407e-01 +/- 3.70008469e+13
y_O276_Phase0   6.72452879e-01 +/- 3.56825672e+13
y_O278_Phase0   3.27278908e-01 +/- 3.27066216e+13
y_O28_Phase0    9.31118428e-01 +/- 3.81408944e+13
y_O296_Phase0   3.48499407e-01 +/- 3.21883171e+13
y_O298_Phase0   6.52494435e-01 +/- 3.64720964e+13
y_O2_Phase0     6.51891763e-01 +/- 3.59068580e+13
y_O300_Phase0   8.47230116e-01 +/- 3.70430359e+13
y_O302_Phase0   1.50548299e-01 +/- 1.98285674e+13
y_O30_Phase0    6.77850671e-02 +/- 9.36251561e+12
y_O320_Phase0   3.78114073e-01 +/- 3.66918956e+13
y_O322_Phase0   6.22165882e-01 +/- 3.61207999e+13
y_O324_Phase0   8.78030161e-01 +/- 3.93126281e+13
y_O326_Phase0   1.21784643e-01 +/- 1.77931602e+13
y_O328_Phase0   3.58466326e-01 +/- 3.41309563e+13
y_O344_Phase0   4.06766054e-02 +/- 6.77073615e+12
y_O346_Phase0   9.58894178e-01 +/- 3.86096913e+13
y_O348_Phase0   5.41434502e-01 +/- 3.61621263e+13
y_O350_Phase0   4.59121379e-01 +/- 3.54682664e+13
y_O368_Phase0   3.00959360e-01 +/- 3.13679291e+13
y_O370_Phase0   6.97964193e-01 +/- 3.78993271e+13
y_O372_Phase0   8.02792121e-01 +/- 3.87328729e+13
y_O374_Phase0   1.97935275e-01 +/- 2.55455298e+13
