Results written: Wed Feb  4 18:51:18 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.02052876
Contributions  0.02052876
Restraints     0.00000000
Chi2           3.57608007
Reduced Chi2   0.01436177
Rw             0.14327862

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O714_Phase0   6.36512502e-01 +/- 1.87780098e+09
x_O72_Phase0    2.69303970e-02 +/- 2.67950259e+08
x_O732_Phase0   1.99133626e-01 +/- 1.35832916e+09
x_O734_Phase0   2.99442349e-01 +/- 1.55683918e+09
x_O736_Phase0   7.99006406e-01 +/- 2.21934701e+09
x_O738_Phase0   7.01077244e-01 +/- 2.22777831e+09
x_O739_Phase0   2.98906444e-01 +/- 1.93261767e+09
x_O744_Phase0   2.55028024e-01 +/- 1.59243874e+09
x_O746_Phase0   7.55208785e-01 +/- 2.21755967e+09
x_O747_Phase0   2.44148584e-01 +/- 1.62687134e+09
x_O74_Phase0    4.71544472e-01 +/- 1.77092884e+09
x_O76_Phase0    9.72512186e-01 +/- 1.88085681e+09
x_O78_Phase0    5.26433987e-01 +/- 2.06398993e+09
x_O79_Phase0    4.73632179e-01 +/- 2.01681395e+09
x_O96_Phase0    9.85285158e-02 +/- 8.10963699e+08
x_O98_Phase0    4.02467716e-01 +/- 1.78844639e+09
x_V0_Phase0     4.34531756e-02 +/- 4.44031399e+08
x_V100_Phase0   8.74012002e-01 +/- 1.55184802e+09
x_V101_Phase0   1.26190949e-01 +/- 1.08692484e+09
x_V102_Phase0   6.29305460e-01 +/- 1.74704935e+09
x_V103_Phase0   3.70671565e-01 +/- 1.89592617e+09
x_V119_Phase0   7.94469297e-01 +/- 2.21006437e+09
x_V120_Phase0   1.34434383e-01 +/- 1.10163598e+09
x_V121_Phase0   8.65522783e-01 +/- 1.60553300e+09
x_V122_Phase0   3.66382571e-01 +/- 1.78778732e+09
x_V123_Phase0   6.33643173e-01 +/- 2.06689286e+09
x_V124_Phase0   8.67386945e-01 +/- 2.22319559e+09
x_V125_Phase0   1.32665246e-01 +/- 1.08114593e+09
x_V126_Phase0   6.29217655e-01 +/- 1.67654395e+09
x_V127_Phase0   3.70706491e-01 +/- 1.59596447e+09
x_V12_Phase0    2.80574538e-01 +/- 1.77281281e+09
x_V131_Phase0   1.25829184e-01 +/- 1.13138622e+09
x_V132_Phase0   1.25483562e-01 +/- 1.03884014e+09
x_V138_Phase0   7.94690483e-01 +/- 1.96192820e+09
x_V13_Phase0    7.19398941e-01 +/- 2.12498048e+09
