Results written: Thu Feb  5 00:19:55 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01870964
Contributions  0.01870964
Restraints     0.00000000
Chi2           3.25919173
Reduced Chi2   0.00499111
Rw             0.13678319

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O396_Phase0   7.18501925e-01 +/- 3.26417957e+13
x_O397_Phase0   2.81498075e-01 +/- 2.99101741e+13
x_O398_Phase0   7.83242953e-01 +/- 3.26306474e+13
x_O399_Phase0   2.16757047e-01 +/- 2.69824979e+13
x_O3_Phase0     5.39802829e-01 +/- 3.22087770e+13
x_O416_Phase0   1.91297881e-01 +/- 2.61316277e+13
x_O417_Phase0   8.08702119e-01 +/- 3.33294175e+13
x_O418_Phase0   3.09930973e-01 +/- 3.10588742e+13
x_O419_Phase0   6.90061488e-01 +/- 3.31444066e+13
x_O420_Phase0   8.09952886e-01 +/- 3.32690011e+13
x_O421_Phase0   1.90047114e-01 +/- 2.65691636e+13
x_O422_Phase0   6.90095388e-01 +/- 3.29197424e+13
x_O423_Phase0   3.09744695e-01 +/- 3.19737155e+13
x_O431_Phase0   2.98697281e-01 +/- 3.13024359e+13
x_O440_Phase0   1.57417330e-01 +/- 2.36304152e+13
x_O441_Phase0   8.42510230e-01 +/- 3.32139201e+13
x_O442_Phase0   3.43559371e-01 +/- 3.21424440e+13
x_O443_Phase0   6.56440629e-01 +/- 3.37569087e+13
x_O444_Phase0   8.43140001e-01 +/- 3.49415417e+13
x_O445_Phase0   1.56717635e-01 +/- 2.51376256e+13
x_O446_Phase0   6.57858527e-01 +/- 3.24964559e+13
x_O447_Phase0   3.42076199e-01 +/- 3.19497511e+13
x_O452_Phase0   7.29090925e-02 +/- 1.53854333e+13
x_O453_Phase0   9.27090907e-01 +/- 3.52574912e+13
x_O455_Phase0   4.28051019e-01 +/- 3.33817953e+13
x_O458_Phase0   8.11658246e-01 +/- 3.48781735e+13
x_O459_Phase0   1.88341754e-01 +/- 2.85238406e+13
x_O460_Phase0   6.87980262e-01 +/- 3.45015292e+13
x_O461_Phase0   3.12008845e-01 +/- 3.21359733e+13
x_O464_Phase0   1.02766858e-01 +/- 1.94318801e+13
x_O465_Phase0   8.97233142e-01 +/- 3.27572428e+13
x_O466_Phase0   3.98216678e-01 +/- 2.98457401e+13
x_O467_Phase0   6.01783322e-01 +/- 3.13020817e+13
x_O468_Phase0   8.97601137e-01 +/- 3.51095906e+13
x_O469_Phase0   1.02398863e-01 +/- 2.07272517e+13
x_O470_Phase0   6.02215356e-01 +/- 3.43298191e+13
x_O471_Phase0   3.97784644e-01 +/- 3.28747904e+13
x_O476_Phase0   2.97763738e-01 +/- 3.06215303e+13
x_O477_Phase0   7.02236262e-01 +/- 3.40264000e+13
x_O478_Phase0   7.98308109e-01 +/- 3.41340614e+13
x_O479_Phase0   2.01691891e-01 +/- 2.73855118e+13
x_O48_Phase0    8.88632714e-03 +/- 1.85281873e+12
x_O492_Phase0   2.35565435e-02 +/- 5.17912972e+12
x_O493_Phase0   9.76443457e-01 +/- 3.31141426e+13
x_O494_Phase0   4.75744945e-01 +/- 3.19893170e+13
x_O495_Phase0   5.24255055e-01 +/- 3.19070376e+13
x_O496_Phase0   9.75205896e-01 +/- 3.31604884e+13
x_O497_Phase0   2.47941040e-02 +/- 5.33963188e+12
x_O498_Phase0   5.23749661e-01 +/- 3.20555100e+13
x_O499_Phase0   4.76250339e-01 +/- 3.15488523e+13
x_O49_Phase0    9.91113673e-01 +/- 3.28849769e+13
x_O4_Phase0     9.60225928e-01 +/- 3.35532823e+13
x_O50_Phase0    4.90643264e-01 +/- 3.17590309e+13
x_O516_Phase0   1.02785171e-01 +/- 1.87570007e+13
x_O517_Phase0   8.97214829e-01 +/- 3.25918148e+13
x_O518_Phase0   3.97594357e-01 +/- 3.14343832e+13
x_O519_Phase0   6.02405643e-01 +/- 3.20151470e+13
x_O51_Phase0    5.09356736e-01 +/- 3.24776491e+13
x_O520_Phase0   8.97774789e-01 +/- 3.31469849e+13
x_O521_Phase0   1.02225211e-01 +/- 1.88786202e+13
x_O522_Phase0   6.02548216e-01 +/- 3.26202626e+13
x_O523_Phase0   3.97451784e-01 +/- 3.12467222e+13
x_O52_Phase0    9.90999558e-01 +/- 3.32926495e+13
x_O53_Phase0    9.00044189e-03 +/- 1.85450715e+12
x_O540_Phase0   2.52447141e-02 +/- 5.90468380e+12
x_O541_Phase0   9.74755286e-01 +/- 3.34665649e+13
x_O542_Phase0   4.74077120e-01 +/- 3.20598988e+13
x_O543_Phase0   5.25922880e-01 +/- 3.23075774e+13
x_O544_Phase0   9.76476855e-01 +/- 3.29285709e+13
x_O545_Phase0   2.35231451e-02 +/- 4.96326380e+12
x_O546_Phase0   5.25574455e-01 +/- 3.24653394e+13
x_O547_Phase0   4.74425545e-01 +/- 3.17307415e+13
x_O54_Phase0    5.10282977e-01 +/- 3.19418741e+13
x_O55_Phase0    4.89717023e-01 +/- 3.22099642e+13
x_O564_Phase0   4.00859014e-02 +/- 7.59230008e+12
x_O565_Phase0   9.59914099e-01 +/- 3.33463140e+13
x_O566_Phase0   4.58559842e-01 +/- 3.17010241e+13
x_O567_Phase0   5.41440158e-01 +/- 3.25636869e+13
x_O568_Phase0   9.60810637e-01 +/- 3.53310356e+13
x_O569_Phase0   3.91936488e-02 +/- 7.88453969e+12
x_O570_Phase0   5.40764530e-01 +/- 3.26154474e+13
x_O571_Phase0   4.59235470e-01 +/- 3.18279581e+13
x_O576_Phase0   2.24003848e-01 +/- 2.95290494e+13
x_O577_Phase0   7.75996152e-01 +/- 3.51142545e+13
x_O584_Phase0   6.40141508e-01 +/- 3.47070636e+13
x_O588_Phase0   1.63199431e-01 +/- 2.42292207e+13
x_O589_Phase0   8.36800569e-01 +/- 3.29506244e+13
x_O590_Phase0   3.36936134e-01 +/- 3.02629471e+13
x_O591_Phase0   6.63063866e-01 +/- 3.24139574e+13
x_O592_Phase0   8.36949271e-01 +/- 3.29840051e+13
x_O593_Phase0   1.63050729e-01 +/- 2.27897364e+13
x_O594_Phase0   6.62711668e-01 +/- 3.26649482e+13
x_O595_Phase0   3.37288332e-01 +/- 3.08947845e+13
x_O5_Phase0     3.97740723e-02 +/- 8.51367730e+12
x_O612_Phase0   2.55239424e-01 +/- 2.66423351e+13
x_O613_Phase0   7.44760576e-01 +/- 3.17830829e+13
x_O614_Phase0   2.47346402e-01 +/- 2.76755259e+13
x_O615_Phase0   7.52653598e-01 +/- 3.18251589e+13
x_O616_Phase0   7.47138399e-01 +/- 3.15640186e+13
