Results written: Tue Feb  3 03:51:55 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01912666
Contributions  0.01912666
Restraints     0.00000000
Chi2           3.58390870
Reduced Chi2   0.01439321
Rw             0.13829916

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
y_O126_Phase0   6.51708506e-02 +/- 2.43386719e+09
y_O144_Phase0   2.71369361e-01 +/- 5.79197989e+09
y_O146_Phase0   7.28420572e-01 +/- 7.27474874e+09
y_O148_Phase0   7.69659346e-01 +/- 7.04457930e+09
y_O150_Phase0   2.28399232e-01 +/- 6.08326136e+09
y_O151_Phase0   7.71719974e-01 +/- 8.12442967e+09
y_O168_Phase0   1.89743350e-01 +/- 5.23102812e+09
y_O170_Phase0   8.09834200e-01 +/- 7.18557729e+09
y_O172_Phase0   6.90686940e-01 +/- 8.11375624e+09
y_O174_Phase0   3.08525061e-01 +/- 6.88821201e+09
y_O175_Phase0   6.90730294e-01 +/- 7.88752261e+09
y_O180_Phase0   9.25797465e-01 +/- 8.57002341e+09
y_O181_Phase0   7.41835301e-02 +/- 2.52547809e+09
y_O182_Phase0   5.75164415e-01 +/- 7.91803108e+09
y_O189_Phase0   8.68665922e-01 +/- 8.51992879e+09
y_O192_Phase0   4.03828139e-01 +/- 7.23239406e+09
y_O193_Phase0   5.96675981e-01 +/- 7.72308073e+09
y_O194_Phase0   5.97568571e-01 +/- 6.79088164e+09
y_O196_Phase0   9.03514589e-01 +/- 8.09299196e+09
y_O197_Phase0   9.64531526e-02 +/- 3.22041190e+09
y_O198_Phase0   9.90679187e-02 +/- 3.23396624e+09
y_O205_Phase0   2.21373141e-02 +/- 7.62184889e+08
y_O218_Phase0   6.60790988e-01 +/- 6.66885658e+09
y_O224_Phase0   3.15066902e-01 +/- 5.85160510e+09
y_O226_Phase0   6.82554011e-01 +/- 8.18101424e+09
y_O228_Phase0   8.17803015e-01 +/- 8.27959617e+09
y_O230_Phase0   1.84379130e-01 +/- 5.04074977e+09
