Results written: Wed Mar  4 11:34:11 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01628370
Contributions  0.01628370
Restraints     0.00000000
Chi2           3.34422209
Reduced Chi2   0.00500632
Rw             0.12760759

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O392_Phase0   2.83857911e-01 +/- 6.33848369e+12
x_O393_Phase0   7.16142927e-01 +/- 7.24306109e+12
x_O394_Phase0   2.16363911e-01 +/- 5.95881782e+12
x_O395_Phase0   7.83635005e-01 +/- 7.33354035e+12
x_O396_Phase0   7.18260844e-01 +/- 7.30176201e+12
x_O397_Phase0   2.81735536e-01 +/- 6.56304665e+12
x_O398_Phase0   7.83322671e-01 +/- 7.27570002e+12
x_O399_Phase0   2.16677730e-01 +/- 5.97390567e+12
x_O3_Phase0     5.39783365e-01 +/- 7.22893855e+12
x_O416_Phase0   1.91188740e-01 +/- 5.74497023e+12
x_O417_Phase0   8.08811173e-01 +/- 7.46970025e+12
x_O418_Phase0   3.10080010e-01 +/- 6.77825493e+12
x_O419_Phase0   6.89919224e-01 +/- 7.31170701e+12
x_O420_Phase0   8.09962361e-01 +/- 7.42907860e+12
x_O421_Phase0   1.90035591e-01 +/- 5.88498932e+12
x_O422_Phase0   6.90101548e-01 +/- 7.39472065e+12
x_O423_Phase0   3.09734658e-01 +/- 6.86261560e+12
x_O431_Phase0   2.98641334e-01 +/- 6.67419918e+12
x_O440_Phase0   1.57254753e-01 +/- 5.34603129e+12
x_O441_Phase0   8.42745487e-01 +/- 7.45159713e+12
x_O442_Phase0   3.43659358e-01 +/- 6.96370101e+12
x_O443_Phase0   6.56340934e-01 +/- 7.42088600e+12
x_O444_Phase0   8.43281166e-01 +/- 7.55708410e+12
x_O445_Phase0   1.56719284e-01 +/- 5.22214128e+12
x_O446_Phase0   6.57779792e-01 +/- 7.37193444e+12
x_O447_Phase0   3.42138924e-01 +/- 6.93358938e+12
x_O452_Phase0   7.24355287e-02 +/- 3.13221739e+12
x_O453_Phase0   9.27564705e-01 +/- 7.60848541e+12
x_O455_Phase0   4.28046240e-01 +/- 7.30896069e+12
x_O458_Phase0   8.11728099e-01 +/- 7.59287660e+12
x_O459_Phase0   1.88272226e-01 +/- 5.69972179e+12
x_O460_Phase0   6.87946080e-01 +/- 7.49163422e+12
x_O461_Phase0   3.12058471e-01 +/- 6.84654871e+12
x_O464_Phase0   1.02677806e-01 +/- 3.96447848e+12
x_O465_Phase0   8.97322800e-01 +/- 7.40689441e+12
x_O466_Phase0   3.98332696e-01 +/- 6.87358487e+12
x_O467_Phase0   6.01669266e-01 +/- 7.16245764e+12
x_O468_Phase0   8.97691080e-01 +/- 7.58288211e+12
x_O469_Phase0   1.02308530e-01 +/- 4.02600752e+12
x_O470_Phase0   6.02113656e-01 +/- 7.41450724e+12
x_O471_Phase0   3.97886427e-01 +/- 7.07914725e+12
x_O476_Phase0   2.97888301e-01 +/- 6.71173824e+12
x_O477_Phase0   7.02111429e-01 +/- 7.49939271e+12
x_O478_Phase0   7.98374326e-01 +/- 7.49940668e+12
x_O479_Phase0   2.01625367e-01 +/- 5.94549590e+12
x_O48_Phase0    8.89746565e-03 +/- 4.30210927e+11
x_O492_Phase0   2.34289514e-02 +/- 1.06660034e+12
x_O493_Phase0   9.76570968e-01 +/- 7.46138192e+12
x_O494_Phase0   4.76046817e-01 +/- 7.15430847e+12
x_O495_Phase0   5.23953510e-01 +/- 7.20724295e+12
x_O496_Phase0   9.75381358e-01 +/- 7.51761955e+12
x_O497_Phase0   2.46201638e-02 +/- 1.10740587e+12
x_O498_Phase0   5.23674664e-01 +/- 7.30680805e+12
x_O499_Phase0   4.76325681e-01 +/- 7.14590076e+12
x_O49_Phase0    9.91101910e-01 +/- 7.44586734e+12
x_O4_Phase0     9.60250268e-01 +/- 7.48873927e+12
x_O50_Phase0    4.90840680e-01 +/- 7.09639416e+12
x_O516_Phase0   1.02857679e-01 +/- 4.11676158e+12
x_O517_Phase0   8.97153192e-01 +/- 7.31571375e+12
x_O518_Phase0   3.97462111e-01 +/- 6.96202639e+12
x_O519_Phase0   6.02538105e-01 +/- 7.20368833e+12
x_O51_Phase0    5.09159054e-01 +/- 7.19056591e+12
x_O520_Phase0   8.97822757e-01 +/- 7.43119346e+12
x_O521_Phase0   1.02178506e-01 +/- 4.29611414e+12
x_O522_Phase0   6.02255440e-01 +/- 7.20822827e+12
x_O523_Phase0   3.97743290e-01 +/- 6.93827077e+12
x_O52_Phase0    9.91107728e-01 +/- 7.44890220e+12
x_O53_Phase0    8.89199944e-03 +/- 3.88284739e+11
x_O540_Phase0   2.52739425e-02 +/- 1.22145069e+12
x_O541_Phase0   9.74726925e-01 +/- 7.48264278e+12
x_O542_Phase0   4.74127596e-01 +/- 7.13790052e+12
x_O543_Phase0   5.25873321e-01 +/- 7.22023147e+12
x_O544_Phase0   9.76242016e-01 +/- 7.44830454e+12
x_O545_Phase0   2.37577224e-02 +/- 1.19021658e+12
x_O546_Phase0   5.25453664e-01 +/- 7.20755057e+12
x_O547_Phase0   4.74545993e-01 +/- 7.12675083e+12
x_O54_Phase0    5.09986708e-01 +/- 7.19635822e+12
x_O55_Phase0    4.90013549e-01 +/- 7.21256025e+12
x_O564_Phase0   3.99147498e-02 +/- 1.94278029e+12
x_O565_Phase0   9.60084553e-01 +/- 7.45001958e+12
x_O566_Phase0   4.58811587e-01 +/- 7.05688041e+12
x_O567_Phase0   5.41188002e-01 +/- 7.23803201e+12
x_O568_Phase0   9.60813437e-01 +/- 7.61653390e+12
x_O569_Phase0   3.91882246e-02 +/- 1.77132427e+12
x_O570_Phase0   5.40520500e-01 +/- 7.16412757e+12
x_O571_Phase0   4.59479741e-01 +/- 7.10354161e+12
x_O576_Phase0   2.24035290e-01 +/- 6.36989418e+12
x_O577_Phase0   7.75964401e-01 +/- 7.56607314e+12
x_O584_Phase0   6.39852054e-01 +/- 7.42640924e+12
x_O588_Phase0   1.63379216e-01 +/- 5.33583677e+12
x_O589_Phase0   8.36620100e-01 +/- 7.39352332e+12
x_O590_Phase0   3.36691709e-01 +/- 6.71961757e+12
x_O591_Phase0   6.63308744e-01 +/- 7.25192138e+12
x_O592_Phase0   8.36666468e-01 +/- 7.40883435e+12
x_O593_Phase0   1.63334257e-01 +/- 5.18212812e+12
x_O594_Phase0   6.62609089e-01 +/- 7.31207354e+12
x_O595_Phase0   3.37390196e-01 +/- 6.81832179e+12
x_O5_Phase0     3.97500527e-02 +/- 1.76632936e+12
x_O612_Phase0   2.55209523e-01 +/- 6.27780790e+12
x_O613_Phase0   7.44790161e-01 +/- 7.13762328e+12
x_O614_Phase0   2.47066138e-01 +/- 5.99440780e+12
x_O615_Phase0   7.52926627e-01 +/- 6.98612004e+12
x_O616_Phase0   7.46913077e-01 +/- 6.96766867e+12
x_O617_Phase0   2.53086673e-01 +/- 6.09326697e+12
x_O618_Phase0   7.56041719e-01 +/- 7.21003711e+12
x_O619_Phase0   2.43958313e-01 +/- 6.14990782e+12
x_O636_Phase0   2.00548900e-01 +/- 6.03059581e+12
x_O637_Phase0   7.99452074e-01 +/- 7.43739934e+12
x_O638_Phase0   3.00342389e-01 +/- 6.72959170e+12
x_O639_Phase0   6.99658124e-01 +/- 7.43101750e+12
x_O640_Phase0   8.00431862e-01 +/- 7.40019525e+12
x_O641_Phase0   1.99568909e-01 +/- 5.89686549e+12
x_O642_Phase0   6.99808210e-01 +/- 7.40806337e+12
x_O643_Phase0   3.00192018e-01 +/- 6.70033118e+12
x_O660_Phase0   1.43338908e-01 +/- 5.10884895e+12
x_O661_Phase0   8.56661999e-01 +/- 7.49202912e+12
x_O662_Phase0   3.55973024e-01 +/- 6.84712260e+12
x_O663_Phase0   6.44027494e-01 +/- 7.34099316e+12
x_O664_Phase0   8.55734545e-01 +/- 7.44422653e+12
x_O665_Phase0   1.44239464e-01 +/- 4.90684944e+12
x_O666_Phase0   6.44450795e-01 +/- 7.40367988e+12
x_O667_Phase0   3.55511256e-01 +/- 6.94005110e+12
x_O684_Phase0   7.09311372e-02 +/- 3.12655262e+12
x_O685_Phase0   9.29068847e-01 +/- 7.41333975e+12
x_O686_Phase0   4.30964926e-01 +/- 7.18547892e+12
x_O687_Phase0   5.69035337e-01 +/- 7.36965816e+12
x_O688_Phase0   9.30203702e-01 +/- 7.40376511e+12
x_O689_Phase0   6.98434995e-02 +/- 2.87158365e+12
x_O690_Phase0   5.69278505e-01 +/- 7.10849031e+12
x_O691_Phase0   4.30628498e-01 +/- 7.06617039e+12
x_O6_Phase0     5.40591638e-01 +/- 7.23083072e+12
x_O702_Phase0   6.99128799e-01 +/- 7.47347185e+12
x_O703_Phase0   3.00871332e-01 +/- 6.77879207e+12
x_O708_Phase0   1.36797170e-01 +/- 4.80908569e+12
x_O709_Phase0   8.63203331e-01 +/- 7.44687388e+12
