Results written: Sat Mar 14 01:22:16 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.02410423
Contributions  0.02257793
Restraints     0.00152630
Chi2           3.01821280
Reduced Chi2   0.01023123
Rw             0.15515391

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O736_Phase0   7.98972933e-01 +/- 4.69967514e+12
x_O738_Phase0   7.01110000e-01 +/- 4.72437822e+12
x_O739_Phase0   2.98866387e-01 +/- 3.81919924e+12
x_O744_Phase0   2.54928522e-01 +/- 3.25135460e+12
x_O746_Phase0   7.55679935e-01 +/- 4.68158973e+12
x_O747_Phase0   2.44277873e-01 +/- 3.31285207e+12
x_O74_Phase0    4.71690872e-01 +/- 3.42087677e+12
x_O76_Phase0    9.72682859e-01 +/- 3.97827442e+12
x_O78_Phase0    5.26483957e-01 +/- 4.41980845e+12
x_O79_Phase0    4.73574032e-01 +/- 4.22530738e+12
x_O96_Phase0    9.83399648e-02 +/- 1.52441489e+12
x_O98_Phase0    4.02597663e-01 +/- 3.57213519e+12
x_V0_Phase0     4.39408379e-02 +/- 7.80882365e+11
x_V100_Phase0   8.73435778e-01 +/- 3.01124142e+12
x_V101_Phase0   1.26775240e-01 +/- 2.07286131e+12
x_V102_Phase0   6.29357999e-01 +/- 3.40470330e+12
x_V103_Phase0   3.70393816e-01 +/- 3.75817163e+12
x_V119_Phase0   7.94594986e-01 +/- 4.69566030e+12
x_V120_Phase0   1.35010649e-01 +/- 2.05718381e+12
x_V121_Phase0   8.64993628e-01 +/- 3.30895761e+12
x_V122_Phase0   3.66128046e-01 +/- 3.60738453e+12
x_V123_Phase0   6.33791087e-01 +/- 4.51784511e+12
x_V124_Phase0   8.67197575e-01 +/- 4.12230528e+12
x_V126_Phase0   6.29581138e-01 +/- 3.35106174e+12
x_V127_Phase0   3.70309563e-01 +/- 3.20901574e+12
x_V12_Phase0    2.80736509e-01 +/- 3.23786499e+12
x_V131_Phase0   1.26035201e-01 +/- 2.09438623e+12
x_V132_Phase0   1.25813498e-01 +/- 2.14980656e+12
x_V138_Phase0   7.94551024e-01 +/- 4.06116930e+12
x_V140_Phase0   7.03959416e-01 +/- 4.56240757e+12
x_V141_Phase0   2.96008981e-01 +/- 3.65136129e+12
x_V144_Phase0   2.82393525e-02 +/- 4.82368993e+11
x_V146_Phase0   4.75923903e-01 +/- 3.32571014e+12
x_V147_Phase0   5.24072693e-01 +/- 3.39758400e+12
x_V148_Phase0   9.79122615e-01 +/- 2.57860659e+12
x_V149_Phase0   2.08647275e-02 +/- 3.65417838e+11
x_V150_Phase0   5.28915554e-01 +/- 3.48772298e+12
x_V151_Phase0   4.71084617e-01 +/- 3.44237414e+12
x_V168_Phase0   3.65220676e-02 +/- 6.11372851e+11
x_V170_Phase0   4.58281477e-01 +/- 1.46529474e+12
x_V172_Phase0   9.63201515e-01 +/- 2.74594155e+12
x_V173_Phase0   3.66785276e-02 +/- 7.51251704e+11
x_V174_Phase0   5.37090848e-01 +/- 3.56973667e+12
x_V175_Phase0   4.62858088e-01 +/- 3.34840372e+12
x_V192_Phase0   2.10609647e-01 +/- 1.57654801e+12
x_V194_Phase0   2.82618059e-01 +/- 1.48402135e+12
x_V196_Phase0   7.86530792e-01 +/- 3.36248737e+12
x_V197_Phase0   2.13631952e-01 +/- 2.87296290e+12
x_V198_Phase0   7.14533189e-01 +/- 4.00649348e+12
x_V199_Phase0   2.85175525e-01 +/- 3.49231511e+12
x_V1_Phase0     9.56163316e-01 +/- 4.60056215e+12
x_V206_Phase0   7.06829219e-01 +/- 4.44980213e+12
x_V207_Phase0   2.93074035e-01 +/- 1.62706895e+12
x_V20_Phase0    6.20914308e-01 +/- 4.50264040e+12
x_V213_Phase0   3.50367693e-02 +/- 6.11454195e+11
x_V26_Phase0    1.21330374e-01 +/- 1.44155366e+12
x_V2_Phase0     4.52404466e-01 +/- 3.37190433e+12
x_V34_Phase0    4.64398821e-01 +/- 3.47966292e+12
x_V35_Phase0    5.35604208e-01 +/- 3.51261286e+12
x_V3_Phase0     5.47618078e-01 +/- 3.47001644e+12
