Results written: Fri Feb  6 15:33:02 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01897342
Contributions  0.01809320
Restraints     0.00088021
Chi2           2.86476923
Reduced Chi2   0.00438709
Rw             0.13765541

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O396_Phase0   7.18594736e-01 +/- 4.03204861e+13
x_O397_Phase0   2.81388935e-01 +/- 3.53369417e+13
x_O398_Phase0   7.83240752e-01 +/- 4.02281927e+13
x_O399_Phase0   2.16768956e-01 +/- 3.31355441e+13
x_O3_Phase0     5.39782410e-01 +/- 4.02229325e+13
x_O416_Phase0   1.91216945e-01 +/- 3.21296676e+13
x_O417_Phase0   8.08779146e-01 +/- 4.12876325e+13
x_O418_Phase0   3.09914667e-01 +/- 3.79501604e+13
x_O419_Phase0   6.90075720e-01 +/- 4.04820143e+13
x_O420_Phase0   8.09948900e-01 +/- 4.05213430e+13
x_O421_Phase0   1.90055680e-01 +/- 3.32849748e+13
x_O422_Phase0   6.90327870e-01 +/- 4.05387320e+13
x_O423_Phase0   3.09792863e-01 +/- 3.77771861e+13
x_O431_Phase0   2.98756192e-01 +/- 3.74332674e+13
x_O440_Phase0   1.57449497e-01 +/- 2.92462759e+13
x_O441_Phase0   8.42472742e-01 +/- 4.08573691e+13
x_O442_Phase0   3.43462022e-01 +/- 3.84549180e+13
x_O443_Phase0   6.56538099e-01 +/- 4.14234793e+13
x_O444_Phase0   8.43106241e-01 +/- 4.26336702e+13
x_O445_Phase0   1.56754035e-01 +/- 3.15098879e+13
x_O446_Phase0   6.57812923e-01 +/- 4.01742944e+13
x_O447_Phase0   3.42104221e-01 +/- 3.93698519e+13
x_O452_Phase0   7.28721587e-02 +/- 1.91633381e+13
x_O453_Phase0   9.27129951e-01 +/- 4.30584151e+13
x_O455_Phase0   4.27992238e-01 +/- 4.09729943e+13
x_O458_Phase0   8.11664009e-01 +/- 4.27314594e+13
x_O459_Phase0   1.88336311e-01 +/- 3.16770389e+13
x_O460_Phase0   6.87975731e-01 +/- 4.23889404e+13
x_O461_Phase0   3.12013928e-01 +/- 3.82272981e+13
x_O464_Phase0   1.02704948e-01 +/- 2.37000935e+13
x_O465_Phase0   8.97288728e-01 +/- 4.02979318e+13
x_O466_Phase0   3.98253590e-01 +/- 3.68644989e+13
x_O467_Phase0   6.01753916e-01 +/- 3.88425133e+13
x_O468_Phase0   8.97600148e-01 +/- 4.30758716e+13
x_O469_Phase0   1.02403069e-01 +/- 2.33721058e+13
x_O470_Phase0   6.02227793e-01 +/- 4.24654794e+13
x_O471_Phase0   3.97772368e-01 +/- 4.04168751e+13
x_O476_Phase0   2.97735481e-01 +/- 3.78767735e+13
x_O477_Phase0   7.02259759e-01 +/- 4.18075487e+13
x_O478_Phase0   7.98282739e-01 +/- 4.19776547e+13
x_O479_Phase0   2.01715077e-01 +/- 3.51282895e+13
x_O48_Phase0    8.94574277e-03 +/- 2.18717557e+12
x_O492_Phase0   2.36541036e-02 +/- 6.22088017e+12
x_O493_Phase0   9.76351464e-01 +/- 4.08019148e+13
x_O494_Phase0   4.75625182e-01 +/- 3.92342073e+13
x_O495_Phase0   5.24372570e-01 +/- 3.93363481e+13
x_O496_Phase0   9.75116947e-01 +/- 4.09937821e+13
x_O497_Phase0   2.48812387e-02 +/- 6.72741320e+12
x_O498_Phase0   5.23828889e-01 +/- 3.87526415e+13
x_O499_Phase0   4.76172069e-01 +/- 3.88596968e+13
x_O49_Phase0    9.91045825e-01 +/- 4.05737295e+13
x_O4_Phase0     9.60221061e-01 +/- 4.12404657e+13
x_O50_Phase0    4.90601323e-01 +/- 3.93280862e+13
x_O516_Phase0   1.02853432e-01 +/- 2.54382405e+13
x_O517_Phase0   8.97150597e-01 +/- 4.00384458e+13
x_O518_Phase0   3.97536904e-01 +/- 3.81548173e+13
x_O519_Phase0   6.02464785e-01 +/- 3.89664910e+13
x_O51_Phase0    5.09398733e-01 +/- 3.96966039e+13
x_O520_Phase0   8.97799981e-01 +/- 4.04874999e+13
x_O521_Phase0   1.02196433e-01 +/- 2.15877613e+13
x_O522_Phase0   6.02540339e-01 +/- 4.04528274e+13
x_O523_Phase0   3.97452639e-01 +/- 3.87866128e+13
x_O52_Phase0    9.90928248e-01 +/- 4.09278893e+13
x_O53_Phase0    9.06997822e-03 +/- 2.65251627e+12
x_O540_Phase0   2.53273800e-02 +/- 6.78597607e+12
x_O541_Phase0   9.74667689e-01 +/- 4.08281759e+13
x_O542_Phase0   4.74050795e-01 +/- 3.95183265e+13
x_O543_Phase0   5.25945596e-01 +/- 3.98798845e+13
x_O544_Phase0   9.76463931e-01 +/- 4.06002626e+13
x_O545_Phase0   2.35315107e-02 +/- 6.43619689e+12
x_O546_Phase0   5.25617634e-01 +/- 4.02974679e+13
x_O547_Phase0   4.74379727e-01 +/- 3.98184132e+13
x_O54_Phase0    5.10401798e-01 +/- 3.98099961e+13
x_O55_Phase0    4.89597379e-01 +/- 3.96679956e+13
x_O564_Phase0   4.01260461e-02 +/- 1.02697002e+13
x_O565_Phase0   9.59872816e-01 +/- 4.10342433e+13
x_O566_Phase0   4.58461886e-01 +/- 3.87562440e+13
x_O567_Phase0   5.41534333e-01 +/- 4.01403978e+13
x_O568_Phase0   9.60822707e-01 +/- 4.33948490e+13
x_O569_Phase0   3.91771226e-02 +/- 9.41738744e+12
x_O570_Phase0   5.40822366e-01 +/- 3.99225171e+13
x_O571_Phase0   4.59175159e-01 +/- 3.93993228e+13
x_O576_Phase0   2.23890451e-01 +/- 3.47523969e+13
x_O577_Phase0   7.76101283e-01 +/- 4.27558296e+13
x_O584_Phase0   6.40151663e-01 +/- 4.26070780e+13
x_O588_Phase0   1.63156002e-01 +/- 3.10894475e+13
x_O589_Phase0   8.36836580e-01 +/- 3.56644549e+13
x_O590_Phase0   3.36996103e-01 +/- 3.73350542e+13
x_O591_Phase0   6.63014448e-01 +/- 3.94164507e+13
x_O592_Phase0   8.36984702e-01 +/- 4.04169689e+13
x_O593_Phase0   1.63020749e-01 +/- 3.04616326e+13
x_O594_Phase0   6.62555903e-01 +/- 3.99799009e+13
x_O595_Phase0   3.37469424e-01 +/- 3.75715946e+13
x_O5_Phase0     3.97822541e-02 +/- 1.09538557e+13
x_O612_Phase0   2.55159471e-01 +/- 3.49863062e+13
x_O613_Phase0   7.44848610e-01 +/- 3.90578622e+13
x_O614_Phase0   2.47602011e-01 +/- 3.49467878e+13
x_O615_Phase0   7.52418975e-01 +/- 3.90185864e+13
x_O616_Phase0   7.47347911e-01 +/- 3.89669377e+13
x_O617_Phase0   2.52651549e-01 +/- 3.44031451e+13
x_O618_Phase0   7.56044436e-01 +/- 3.98937699e+13
x_O619_Phase0   2.43958676e-01 +/- 3.43423033e+13
x_O636_Phase0   2.00743651e-01 +/- 3.36675314e+13
x_O637_Phase0   7.99256808e-01 +/- 4.12541094e+13
x_O638_Phase0   3.00349534e-01 +/- 3.76776296e+13
x_O639_Phase0   6.99656397e-01 +/- 4.06771252e+13
x_O640_Phase0   8.00210459e-01 +/- 4.10191199e+13
