Results written: Mon Feb  2 21:00:05 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01886287
Contributions  0.01886287
Restraints     0.00000000
Chi2           3.77957094
Reduced Chi2   0.00087571
Rw             0.13734215

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O322_Phase0   1.41484962e-01 +/- 3.78297967e+13
x_O323_Phase0   8.58515038e-01 +/- 4.07428033e+13
x_O324_Phase0   6.41045047e-01 +/- 4.07382085e+13
x_O325_Phase0   3.58954953e-01 +/- 4.03178402e+13
x_O326_Phase0   8.58802291e-01 +/- 4.07992482e+13
x_O327_Phase0   1.41197709e-01 +/- 3.74527896e+13
x_O328_Phase0   4.37762351e-01 +/- 4.04599126e+13
x_O329_Phase0   5.62237649e-01 +/- 4.05862225e+13
x_O32_Phase0    2.62018460e-02 +/- 1.45473737e+13
x_O330_Phase0   9.35885273e-01 +/- 4.07120935e+13
x_O331_Phase0   6.41147265e-02 +/- 3.03754512e+13
x_O332_Phase0   6.24264101e-02 +/- 2.91158998e+13
x_O333_Phase0   9.37573590e-01 +/- 4.06477991e+13
x_O334_Phase0   5.60760546e-01 +/- 4.05424990e+13
x_O335_Phase0   4.39537356e-01 +/- 4.11760342e+13
x_O336_Phase0   3.78198714e-01 +/- 4.03845819e+13
x_O337_Phase0   6.21801286e-01 +/- 4.06906289e+13
x_O338_Phase0   6.21969126e-01 +/- 4.06439481e+13
x_O339_Phase0   3.78030874e-01 +/- 4.03734149e+13
x_O33_Phase0    9.73798154e-01 +/- 4.08484249e+13
x_O340_Phase0   8.78106471e-01 +/- 4.08427699e+13
x_O341_Phase0   1.21893529e-01 +/- 3.63949564e+13
x_O342_Phase0   1.21690665e-01 +/- 3.64383718e+13
x_O343_Phase0   8.78309335e-01 +/- 4.08043699e+13
x_O344_Phase0   1.08130179e-02 +/- 7.39346616e+12
x_O345_Phase0   9.89186982e-01 +/- 4.07533745e+13
x_O346_Phase0   4.89196497e-01 +/- 4.05640514e+13
x_O347_Phase0   5.10803503e-01 +/- 4.05715597e+13
x_O348_Phase0   9.88552561e-01 +/- 4.07524042e+13
x_O349_Phase0   1.14474385e-02 +/- 7.01835310e+12
x_O34_Phase0    5.26297038e-01 +/- 4.06860414e+13
x_O350_Phase0   5.09354835e-01 +/- 4.05556323e+13
x_O351_Phase0   4.90645165e-01 +/- 4.05715142e+13
x_O352_Phase0   9.64175693e-02 +/- 3.56645660e+13
x_O353_Phase0   9.03582431e-01 +/- 4.07305899e+13
x_O354_Phase0   5.97136344e-01 +/- 4.05634113e+13
x_O355_Phase0   4.02863656e-01 +/- 4.02749939e+13
x_O356_Phase0   4.05874059e-01 +/- 4.03445098e+13
x_O357_Phase0   5.94125941e-01 +/- 4.05889999e+13
x_O358_Phase0   8.99927830e-01 +/- 4.08131351e+13
x_O359_Phase0   1.00072170e-01 +/- 3.45573143e+13
x_O35_Phase0    4.73702962e-01 +/- 4.06652055e+13
x_O360_Phase0   4.05654460e-02 +/- 2.15418908e+13
x_O361_Phase0   9.59434554e-01 +/- 4.08174313e+13
x_O362_Phase0   9.58674346e-01 +/- 4.08291675e+13
x_O363_Phase0   4.13256542e-02 +/- 2.18446346e+13
x_O364_Phase0   5.41500906e-01 +/- 4.06369221e+13
x_O365_Phase0   4.58499094e-01 +/- 4.05636933e+13
x_O366_Phase0   4.58962415e-01 +/- 4.04897844e+13
x_O367_Phase0   5.41037585e-01 +/- 4.05638194e+13
x_O368_Phase0   2.35619407e-01 +/- 3.97198695e+13
x_O369_Phase0   7.64380593e-01 +/- 4.07699609e+13
x_O36_Phase0    4.74281996e-01 +/- 4.05107720e+13
x_O370_Phase0   2.64719893e-01 +/- 3.96518748e+13
x_O371_Phase0   7.35280107e-01 +/- 4.08004658e+13
x_O372_Phase0   7.67086966e-01 +/- 4.08193912e+13
x_O373_Phase0   2.32913034e-01 +/- 3.95792238e+13
x_O374_Phase0   7.32376849e-01 +/- 4.07665656e+13
x_O375_Phase0   2.67623151e-01 +/- 3.99058577e+13
x_O376_Phase0   3.13976127e-01 +/- 4.02468955e+13
x_O377_Phase0   6.86023873e-01 +/- 4.07353486e+13
x_O378_Phase0   8.15880503e-01 +/- 4.08409162e+13
x_O379_Phase0   1.84119497e-01 +/- 3.89307854e+13
x_O37_Phase0    5.25718004e-01 +/- 4.06253805e+13
x_O380_Phase0   1.86038989e-01 +/- 3.87828265e+13
x_O381_Phase0   8.13961011e-01 +/- 4.08710243e+13
x_O382_Phase0   6.86696614e-01 +/- 4.08548969e+13
x_O383_Phase0   3.13303386e-01 +/- 4.03061590e+13
x_O384_Phase0   3.01021779e-01 +/- 4.00263434e+13
x_O385_Phase0   6.98978221e-01 +/- 4.07799913e+13
x_O386_Phase0   6.98133666e-01 +/- 4.07848014e+13
x_O387_Phase0   3.01866334e-01 +/- 3.99719475e+13
x_O388_Phase0   8.02899105e-01 +/- 4.08558631e+13
x_O389_Phase0   1.97100895e-01 +/- 3.87835283e+13
x_O38_Phase0    9.73522564e-01 +/- 4.08287469e+13
x_O390_Phase0   1.97914311e-01 +/- 3.91915587e+13
x_O391_Phase0   8.02085689e-01 +/- 4.07833218e+13
x_O392_Phase0   2.83974067e-01 +/- 3.97606401e+13
x_O393_Phase0   7.16025933e-01 +/- 4.05532399e+13
x_O394_Phase0   2.16216217e-01 +/- 3.89786773e+13
x_O395_Phase0   7.83783783e-01 +/- 4.06278609e+13
x_O396_Phase0   7.18501925e-01 +/- 4.06375193e+13
x_O397_Phase0   2.81498075e-01 +/- 3.99394683e+13
x_O398_Phase0   7.83242953e-01 +/- 4.05995822e+13
x_O399_Phase0   2.16757047e-01 +/- 3.91561517e+13
x_O39_Phase0    2.64774357e-02 +/- 1.57678286e+13
x_O3_Phase0     5.39802829e-01 +/- 4.06183404e+13
x_O400_Phase0   3.02322862e-01 +/- 4.00681727e+13
x_O401_Phase0   6.97677138e-01 +/- 4.06908903e+13
