Results written: Thu Mar 26 10:21:09 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.03495246
Contributions  0.03493367
Restraints     0.00001879
Chi2           3.68341169
Reduced Chi2   0.00084696
Rw             0.18694869

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O244_Phase0   8.16342200e-01 +/- 3.01461308e+13
x_O245_Phase0   1.83657729e-01 +/- 2.91437971e+13
x_O246_Phase0   1.84438703e-01 +/- 2.93182050e+13
x_O247_Phase0   8.15559413e-01 +/- 3.01638571e+13
x_O248_Phase0   1.64093547e-01 +/- 2.83249799e+13
x_O249_Phase0   8.35906320e-01 +/- 3.02646677e+13
x_O24_Phase0    2.30349183e-02 +/- 1.01427222e+13
x_O250_Phase0   3.37446917e-01 +/- 2.99027775e+13
x_O251_Phase0   6.62455303e-01 +/- 3.03000293e+13
x_O252_Phase0   8.34141265e-01 +/- 3.01345067e+13
x_O253_Phase0   1.65859873e-01 +/- 2.81420476e+13
x_O254_Phase0   6.63241663e-01 +/- 3.01051290e+13
x_O255_Phase0   3.36760658e-01 +/- 2.99001283e+13
x_O256_Phase0   3.21782375e-01 +/- 2.97841418e+13
x_O257_Phase0   6.78217715e-01 +/- 3.00289347e+13
x_O258_Phase0   8.21579665e-01 +/- 3.00913237e+13
x_O259_Phase0   1.78364659e-01 +/- 2.83635357e+13
x_O25_Phase0    9.76965647e-01 +/- 3.02348932e+13
x_O260_Phase0   1.80589501e-01 +/- 2.86357152e+13
x_O261_Phase0   8.19410721e-01 +/- 3.00861148e+13
x_O262_Phase0   6.79586079e-01 +/- 3.00920868e+13
x_O263_Phase0   3.20413499e-01 +/- 2.95820737e+13
x_O264_Phase0   1.71698115e-01 +/- 2.83517847e+13
x_O265_Phase0   8.28302150e-01 +/- 3.02985258e+13
x_O266_Phase0   8.28398271e-01 +/- 3.02215874e+13
