Results written: Sun Mar  1 15:32:38 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01236317
Contributions  0.01236317
Restraints     0.00000000
Chi2           2.30948967
Reduced Chi2   0.00345732
Rw             0.11118980

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O443_Phase0   6.56356239e-01 +/- 9.84823259e+12
x_O444_Phase0   8.43291305e-01 +/- 1.00611174e+13
x_O445_Phase0   1.56708819e-01 +/- 6.83237927e+12
x_O446_Phase0   6.57815557e-01 +/- 9.73793398e+12
x_O447_Phase0   3.42116208e-01 +/- 9.33016848e+12
x_O452_Phase0   7.24429175e-02 +/- 4.21174250e+12
x_O453_Phase0   9.27557084e-01 +/- 1.00978996e+13
x_O455_Phase0   4.28067941e-01 +/- 9.73459021e+12
x_O458_Phase0   8.11762724e-01 +/- 9.99781190e+12
x_O459_Phase0   1.88237325e-01 +/- 7.56633067e+12
x_O460_Phase0   6.87932523e-01 +/- 9.96859356e+12
x_O461_Phase0   3.12072432e-01 +/- 9.22679349e+12
x_O464_Phase0   1.02711043e-01 +/- 5.29478674e+12
x_O465_Phase0   8.97288986e-01 +/- 9.78511202e+12
x_O466_Phase0   3.98145739e-01 +/- 9.03311412e+12
x_O467_Phase0   6.01854942e-01 +/- 9.46241053e+12
x_O468_Phase0   8.97661713e-01 +/- 1.00873417e+13
x_O469_Phase0   1.02338272e-01 +/- 5.29930926e+12
x_O470_Phase0   6.02153922e-01 +/- 9.90247219e+12
x_O471_Phase0   3.97846065e-01 +/- 9.51497102e+12
x_O476_Phase0   2.97920247e-01 +/- 8.68255147e+12
x_O477_Phase0   7.02079741e-01 +/- 9.89898493e+12
x_O478_Phase0   7.98419891e-01 +/- 9.94617067e+12
x_O479_Phase0   2.01579914e-01 +/- 7.97203734e+12
x_O48_Phase0    8.82326390e-03 +/- 5.48547909e+11
x_O492_Phase0   2.33843578e-02 +/- 1.48814478e+12
x_O493_Phase0   9.76615663e-01 +/- 9.87415023e+12
x_O494_Phase0   4.76091704e-01 +/- 9.51957901e+12
x_O495_Phase0   5.23908315e-01 +/- 9.50324649e+12
x_O496_Phase0   9.75351838e-01 +/- 9.92081037e+12
x_O497_Phase0   2.46482436e-02 +/- 1.49521992e+12
x_O498_Phase0   5.23671767e-01 +/- 9.56983191e+12
x_O499_Phase0   4.76328039e-01 +/- 9.49693738e+12
x_O49_Phase0    9.91176541e-01 +/- 9.84819505e+12
x_O4_Phase0     9.60251437e-01 +/- 9.92289429e+12
x_O50_Phase0    4.90898775e-01 +/- 9.41816697e+12
x_O516_Phase0   1.02869298e-01 +/- 4.87512375e+12
x_O517_Phase0   8.97130502e-01 +/- 9.67878010e+12
x_O518_Phase0   3.97496323e-01 +/- 9.26170408e+12
x_O519_Phase0   6.02503867e-01 +/- 9.49010838e+12
x_O51_Phase0    5.09101204e-01 +/- 9.50983222e+12
x_O520_Phase0   8.97765376e-01 +/- 9.86480920e+12
x_O521_Phase0   1.02234668e-01 +/- 5.86823892e+12
x_O522_Phase0   6.02698324e-01 +/- 9.58652757e+12
x_O523_Phase0   3.97301357e-01 +/- 9.19560545e+12
x_O52_Phase0    9.91170097e-01 +/- 9.87072272e+12
x_O53_Phase0    8.82979587e-03 +/- 5.61486645e+11
x_O540_Phase0   2.52559001e-02 +/- 1.53194696e+12
x_O541_Phase0   9.74744151e-01 +/- 9.88077625e+12
x_O542_Phase0   4.74109323e-01 +/- 9.53948886e+12
x_O543_Phase0   5.25890657e-01 +/- 9.63287603e+12
x_O544_Phase0   9.76243668e-01 +/- 9.81619550e+12
x_O545_Phase0   2.37560444e-02 +/- 1.44848298e+12
x_O546_Phase0   5.25454837e-01 +/- 9.54741515e+12
x_O547_Phase0   4.74545195e-01 +/- 9.40248428e+12
x_O54_Phase0    5.09863533e-01 +/- 9.62481888e+12
x_O55_Phase0    4.90136551e-01 +/- 9.56184606e+12
x_O564_Phase0   3.98675360e-02 +/- 2.42231026e+12
x_O565_Phase0   9.60132229e-01 +/- 9.81433352e+12
x_O566_Phase0   4.58866436e-01 +/- 9.34403853e+12
x_O567_Phase0   5.41133642e-01 +/- 9.59252269e+12
