Results written: Sun Feb  1 02:14:56 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01874434
Contributions  0.01874434
Restraints     0.00000000
Chi2           3.88724311
Reduced Chi2   0.01561142
Rw             0.13690996

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_V2_Phase0     4.52659690e-01 +/- 2.22182706e+13
x_V34_Phase0    4.64308662e-01 +/- 2.12409282e+13
x_V35_Phase0    5.35735561e-01 +/- 2.23401900e+13
x_V3_Phase0     5.47392797e-01 +/- 2.28334168e+13
x_V42_Phase0    1.98213121e-01 +/- 1.68662688e+13
x_V43_Phase0    8.01588718e-01 +/- 2.58617977e+13
x_V45_Phase0    2.99608156e-01 +/- 2.27581889e+13
x_V48_Phase0    3.67824239e-02 +/- 4.31256472e+12
x_V49_Phase0    9.62969247e-01 +/- 2.29648761e+13
x_V4_Phase0     9.59462736e-01 +/- 2.72255340e+13
x_V50_Phase0    4.62472629e-01 +/- 2.17919565e+13
x_V51_Phase0    5.37607037e-01 +/- 2.45953404e+13
x_V52_Phase0    9.63341578e-01 +/- 2.20652069e+13
x_V53_Phase0    3.68243632e-02 +/- 4.79075052e+12
x_V54_Phase0    5.37815132e-01 +/- 2.35240185e+13
x_V55_Phase0    4.62185074e-01 +/- 2.29457224e+13
x_V5_Phase0     4.05248264e-02 +/- 4.82879472e+12
x_V67_Phase0    4.60207794e-01 +/- 2.58825188e+13
x_V6_Phase0     5.40413453e-01 +/- 2.21901264e+13
x_V72_Phase0    2.01357466e-01 +/- 1.82149489e+13
x_V73_Phase0    7.98672804e-01 +/- 2.23116879e+13
x_V74_Phase0    3.05205755e-01 +/- 2.22017049e+13
x_V76_Phase0    8.04225848e-01 +/- 2.53478027e+13
x_V78_Phase0    6.98024107e-01 +/- 2.32456636e+13
x_V79_Phase0    3.02159596e-01 +/- 2.34289023e+13
x_V7_Phase0     4.59599609e-01 +/- 2.22327320e+13
x_V82_Phase0    9.68517994e-01 +/- 2.59698333e+13
x_V83_Phase0    3.14430329e-02 +/- 3.79404971e+12
x_V84_Phase0    3.12558888e-02 +/- 3.70232938e+12
x_V85_Phase0    9.68743335e-01 +/- 2.47668193e+13
x_V87_Phase0    4.66580288e-01 +/- 2.44208667e+13
x_V91_Phase0    3.71078608e-01 +/- 2.40870418e+13
x_V96_Phase0    1.28439316e-01 +/- 1.37888423e+13
x_V97_Phase0    8.71602599e-01 +/- 2.36188674e+13
x_V98_Phase0    3.70988665e-01 +/- 2.43462208e+13
x_V99_Phase0    6.28464962e-01 +/- 2.37350656e+13
x_V9_Phase0     7.85125790e-01 +/- 2.50125019e+13
x_ZR0_Phase0    6.93043394e-04 +/- 8.57999171e+10
x_ZR100_Phase0  5.01262196e-01 +/- 2.23817777e+13
x_ZR101_Phase0  4.98634791e-01 +/- 2.22221355e+13
x_ZR102_Phase0  4.95099799e-01 +/- 2.19177857e+13
x_ZR103_Phase0  5.03036051e-01 +/- 2.29245904e+13
x_ZR104_Phase0  3.75967530e-04 +/- 4.50770752e+10
x_ZR105_Phase0  9.99604419e-01 +/- 2.28011854e+13
x_ZR106_Phase0  9.98144293e-01 +/- 2.23037340e+13
x_ZR107_Phase0  1.90540799e-03 +/- 2.12951811e+11
x_ZR10_Phase0   9.93430501e-01 +/- 2.12096333e+13
x_ZR11_Phase0   5.92510621e-03 +/- 6.73082411e+11
x_ZR12_Phase0   2.78260713e-03 +/- 3.29584689e+11
x_ZR13_Phase0   9.97007353e-01 +/- 2.41374065e+13
x_ZR14_Phase0   5.03762475e-01 +/- 2.24670984e+13
x_ZR15_Phase0   4.97070910e-01 +/- 2.16233392e+13
x_ZR16_Phase0   3.37561885e-01 +/- 2.05598755e+13
x_ZR17_Phase0   6.62415756e-01 +/- 2.19020536e+13
x_ZR18_Phase0   6.62679555e-01 +/- 2.16588374e+13
x_ZR19_Phase0   3.37322974e-01 +/- 2.03764438e+13
x_ZR1_Phase0    9.99065003e-01 +/- 2.17839815e+13
x_ZR20_Phase0   8.33914220e-01 +/- 2.37559873e+13
x_ZR21_Phase0   1.65858865e-01 +/- 1.49078333e+13
x_ZR22_Phase0   1.63873090e-01 +/- 1.60159303e+13
x_ZR23_Phase0   8.36202647e-01 +/- 2.30243082e+13
x_ZR24_Phase0   4.99755062e-01 +/- 2.38387546e+13
x_ZR25_Phase0   1.00044349e+00 +/- 2.48445556e+13
x_ZR26_Phase0   4.99783762e-01 +/- 2.21687107e+13
x_ZR27_Phase0   -2.09063959e-04 +/- 2.43718685e+10
x_ZR28_Phase0   1.65542483e-01 +/- 1.47524945e+13
x_ZR29_Phase0   8.35273642e-01 +/- 2.33050210e+13
x_ZR2_Phase0    4.96082076e-01 +/- 2.15695285e+13
x_ZR30_Phase0   3.34885476e-01 +/- 2.11872826e+13
x_ZR31_Phase0   6.65151547e-01 +/- 2.31180477e+13
x_ZR32_Phase0   8.36339501e-01 +/- 2.30233060e+13
x_ZR33_Phase0   1.64446072e-01 +/- 1.55556706e+13
x_ZR34_Phase0   6.65190977e-01 +/- 2.38890374e+13
x_ZR35_Phase0   3.34713963e-01 +/- 2.02795879e+13
x_ZR36_Phase0   1.69944779e-01 +/- 1.50766233e+13
x_ZR37_Phase0   8.29949225e-01 +/- 2.23350643e+13
x_ZR38_Phase0   3.32513809e-01 +/- 2.07124741e+13
x_ZR39_Phase0   6.67502288e-01 +/- 2.42080525e+13
x_ZR3_Phase0    5.04412645e-01 +/- 1.93726006e+13
x_ZR40_Phase0   8.37529644e-01 +/- 2.19819992e+13
x_ZR41_Phase0   1.62193289e-01 +/- 1.52882284e+13
x_ZR42_Phase0   6.66224146e-01 +/- 2.27637252e+13
x_ZR43_Phase0   3.33562743e-01 +/- 2.07656761e+13
x_ZR44_Phase0   3.33029998e-01 +/- 2.02448705e+13
x_ZR45_Phase0   6.67542703e-01 +/- 2.26667766e+13
x_ZR46_Phase0   8.30997304e-01 +/- 2.19366545e+13
x_ZR47_Phase0   1.69014756e-01 +/- 1.48767017e+13
x_ZR48_Phase0   1.70708608e-01 +/- 1.58121192e+13
x_ZR49_Phase0   8.28860935e-01 +/- 2.18728636e+13
x_ZR4_Phase0    9.96853809e-01 +/- 2.15987718e+13
x_ZR50_Phase0   6.67110144e-01 +/- 2.39618887e+13
x_ZR51_Phase0   3.32040091e-01 +/- 1.94624111e+13
x_ZR52_Phase0   3.36263833e-01 +/- 2.12340058e+13
x_ZR53_Phase0   6.63550094e-01 +/- 2.30406714e+13
x_ZR54_Phase0   6.61458213e-01 +/- 2.17550633e+13
x_ZR55_Phase0   3.37371266e-01 +/- 2.10721555e+13
x_ZR56_Phase0   8.35434872e-01 +/- 2.22315442e+13
x_ZR57_Phase0   1.64503870e-01 +/- 1.50598358e+13
x_ZR58_Phase0   1.61701477e-01 +/- 1.44109532e+13
x_ZR59_Phase0   8.38302214e-01 +/- 2.37024138e+13
x_ZR5_Phase0    2.17496073e-03 +/- 2.71888251e+11
x_ZR60_Phase0   5.02559675e-03 +/- 5.92773448e+11
x_ZR61_Phase0   9.94293491e-01 +/- 2.22019830e+13
x_ZR62_Phase0   4.98612387e-01 +/- 2.22646714e+13
x_ZR63_Phase0   5.02294100e-01 +/- 2.17868689e+13
x_ZR64_Phase0   9.98614609e-01 +/- 2.33996198e+13
x_ZR65_Phase0   1.55263408e-03 +/- 1.86174329e+11
x_ZR66_Phase0   5.05151536e-01 +/- 2.19405777e+13
x_ZR67_Phase0   4.94293600e-01 +/- 1.94744622e+13
x_ZR68_Phase0   1.61904029e-01 +/- 1.51863863e+13
x_ZR69_Phase0   8.38775709e-01 +/- 2.21986781e+13
x_ZR6_Phase0    4.99822200e-01 +/- 2.18223976e+13
x_ZR70_Phase0   6.60370171e-01 +/- 2.28036694e+13
x_ZR71_Phase0   3.40544255e-01 +/- 2.01482660e+13
x_ZR72_Phase0   3.40607752e-01 +/- 1.90748860e+13
x_ZR73_Phase0   6.59615737e-01 +/- 2.16403668e+13
x_ZR74_Phase0   8.41421378e-01 +/- 2.09674202e+13
x_ZR75_Phase0   1.58719733e-01 +/- 1.50341903e+13
x_ZR76_Phase0   3.34039631e-01 +/- 2.01242262e+13
x_ZR77_Phase0   6.66557408e-01 +/- 2.18306596e+13
x_ZR78_Phase0   6.68198835e-01 +/- 2.24055362e+13
x_ZR79_Phase0   3.32090411e-01 +/- 2.04246872e+13
x_ZR7_Phase0    5.00125419e-01 +/- 2.23467956e+13
x_ZR80_Phase0   8.33074169e-01 +/- 2.25683186e+13
x_ZR81_Phase0   1.67439008e-01 +/- 1.53613428e+13
x_ZR82_Phase0   1.69679318e-01 +/- 1.53637281e+13
x_ZR83_Phase0   8.30110606e-01 +/- 2.19892686e+13
x_ZR84_Phase0   1.64788456e-01 +/- 1.60929147e+13
x_ZR85_Phase0   8.34861490e-01 +/- 2.23530572e+13
x_ZR86_Phase0   3.34687869e-01 +/- 2.00583474e+13
x_ZR87_Phase0   6.66144222e-01 +/- 2.33341003e+13
x_ZR88_Phase0   8.35206462e-01 +/- 2.27787436e+13
x_ZR89_Phase0   1.64602553e-01 +/- 1.61916383e+13
x_ZR8_Phase0    4.93893089e-01 +/- 2.14568766e+13
x_ZR90_Phase0   6.63414785e-01 +/- 2.14015699e+13
x_ZR91_Phase0   3.36209948e-01 +/- 2.09076684e+13
x_ZR92_Phase0   1.72803895e-01 +/- 1.57952691e+13
x_ZR93_Phase0   8.27057292e-01 +/- 2.20163786e+13
x_ZR94_Phase0   6.67381202e-01 +/- 2.30211889e+13
x_ZR95_Phase0   3.33018970e-01 +/- 1.99973614e+13
x_ZR96_Phase0   3.26212436e-01 +/- 2.01271455e+13
x_ZR97_Phase0   6.73751289e-01 +/- 2.17030650e+13
x_ZR98_Phase0   8.28987192e-01 +/- 2.34501133e+13
x_ZR99_Phase0   1.71201572e-01 +/- 1.59643550e+13
x_ZR9_Phase0    5.06307141e-01 +/- 2.02196320e+13
y_O0_Phase0     3.47392078e-01 +/- 2.34442719e+13
y_O100_Phase0   8.71834971e-01 +/- 2.77771583e+13
y_O101_Phase0   1.28116876e-01 +/- 1.25964400e+13
y_O102_Phase0   1.29363639e-01 +/- 1.32154859e+13
y_O120_Phase0   4.33838833e-01 +/- 2.32321743e+13
y_O122_Phase0   5.73915135e-01 +/- 1.96641217e+13
y_O124_Phase0   9.34483742e-01 +/- 2.45188661e+13
y_O126_Phase0   6.51708505e-02 +/- 7.50583328e+12
y_O144_Phase0   2.71369361e-01 +/- 2.07622961e+13
y_O146_Phase0   7.28420572e-01 +/- 2.58397213e+13
y_O148_Phase0   7.69659346e-01 +/- 2.60615246e+13
y_O150_Phase0   2.28399232e-01 +/- 1.90027924e+13
y_O151_Phase0   7.71719974e-01 +/- 2.75260281e+13
y_O168_Phase0   1.89743351e-01 +/- 1.69152717e+13
y_O170_Phase0   8.09834200e-01 +/- 2.58771695e+13
y_O172_Phase0   6.90686940e-01 +/- 2.74547402e+13
y_O174_Phase0   3.08525061e-01 +/- 2.37358876e+13
y_O175_Phase0   6.90730294e-01 +/- 2.70853889e+13
y_O180_Phase0   9.25797465e-01 +/- 2.86147104e+13
y_O181_Phase0   7.41835301e-02 +/- 8.80408279e+12
y_O182_Phase0   5.75164415e-01 +/- 2.68902565e+13
y_O189_Phase0   8.68665922e-01 +/- 2.83636207e+13
y_O192_Phase0   4.03828139e-01 +/- 2.51609059e+13
y_O193_Phase0   5.96675981e-01 +/- 2.63329139e+13
y_O194_Phase0   5.97568571e-01 +/- 2.42659814e+13
y_O196_Phase0   9.03514589e-01 +/- 2.79122126e+13
y_O197_Phase0   9.64531525e-02 +/- 1.14367282e+13
y_O198_Phase0   9.90679186e-02 +/- 1.19755495e+13
y_O205_Phase0   2.21373140e-02 +/- 2.64455216e+12
y_O218_Phase0   6.60790988e-01 +/- 2.43939399e+13
y_O224_Phase0   3.15066902e-01 +/- 2.22529968e+13
y_O226_Phase0   6.82554011e-01 +/- 2.76732267e+13
y_O228_Phase0   8.17803015e-01 +/- 2.80029745e+13
y_O230_Phase0   1.84379130e-01 +/- 1.70506880e+13
