Results written: Mon Feb 23 16:52:51 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01627904
Contributions  0.01362709
Restraints     0.00265195
Chi2           2.72268558
Reduced Chi2   0.00922944
Rw             0.12742888

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_ZR28_Phase0   1.64688803e-01 +/- 7.33084342e+12
x_ZR29_Phase0   8.35136915e-01 +/- 1.19455800e+13
x_ZR2_Phase0    4.95977163e-01 +/- 1.06302324e+13
x_ZR30_Phase0   3.34662518e-01 +/- 9.73339734e+12
x_ZR31_Phase0   6.65577122e-01 +/- 1.18897967e+13
x_ZR32_Phase0   8.36428186e-01 +/- 1.16891060e+13
x_ZR33_Phase0   1.63725508e-01 +/- 7.77166206e+12
x_ZR34_Phase0   6.65043450e-01 +/- 1.13342659e+13
x_ZR35_Phase0   3.34644643e-01 +/- 1.05963176e+13
x_ZR36_Phase0   1.70414242e-01 +/- 7.37845624e+12
x_ZR37_Phase0   8.29530304e-01 +/- 1.12613833e+13
x_ZR38_Phase0   3.32667832e-01 +/- 1.03287340e+13
x_ZR39_Phase0   6.67457671e-01 +/- 1.12885899e+13
x_ZR3_Phase0    5.04155143e-01 +/- 1.09047045e+13
x_ZR40_Phase0   8.38064771e-01 +/- 1.08373040e+13
x_ZR41_Phase0   1.61804587e-01 +/- 7.21588205e+12
x_ZR42_Phase0   6.65837754e-01 +/- 1.14361049e+13
x_ZR43_Phase0   3.33592347e-01 +/- 1.00819290e+13
x_ZR44_Phase0   3.32981129e-01 +/- 1.01984315e+13
x_ZR45_Phase0   6.67240483e-01 +/- 1.20116723e+13
x_ZR46_Phase0   8.30551817e-01 +/- 1.05310030e+13
x_ZR47_Phase0   1.68785983e-01 +/- 6.97291204e+12
x_ZR48_Phase0   1.71211591e-01 +/- 8.00991254e+12
x_ZR49_Phase0   8.28675644e-01 +/- 1.12714065e+13
x_ZR4_Phase0    9.97024164e-01 +/- 1.06904192e+13
x_ZR50_Phase0   6.67086626e-01 +/- 1.15774564e+13
x_ZR51_Phase0   3.32166352e-01 +/- 1.02872452e+13
x_ZR52_Phase0   3.36239849e-01 +/- 1.01601223e+13
x_ZR53_Phase0   6.63825169e-01 +/- 1.17160385e+13
x_ZR54_Phase0   6.61139507e-01 +/- 1.14241195e+13
x_ZR55_Phase0   3.37640258e-01 +/- 9.65761393e+12
x_ZR56_Phase0   8.35850142e-01 +/- 1.18033606e+13
x_ZR57_Phase0   1.64377412e-01 +/- 7.18397270e+12
x_ZR58_Phase0   1.61733337e-01 +/- 7.15346594e+12
x_ZR59_Phase0   8.38639452e-01 +/- 1.08497437e+13
x_ZR5_Phase0    2.62394961e-03 +/- 1.64129093e+11
x_ZR60_Phase0   5.46765471e-03 +/- 3.01294706e+11
x_ZR61_Phase0   9.94334870e-01 +/- 1.08174071e+13
x_ZR62_Phase0   4.98040923e-01 +/- 1.13119243e+13
x_ZR63_Phase0   5.02175694e-01 +/- 1.13234099e+13
x_ZR64_Phase0   9.98218446e-01 +/- 1.11870454e+13
x_ZR65_Phase0   2.15166694e-03 +/- 1.30271856e+11
x_ZR66_Phase0   5.05414443e-01 +/- 1.03109986e+13
x_ZR67_Phase0   4.94255549e-01 +/- 1.00560478e+13
x_ZR68_Phase0   1.60851017e-01 +/- 6.99579762e+12
x_ZR69_Phase0   8.39449362e-01 +/- 1.02172487e+13
x_ZR6_Phase0    5.00424140e-01 +/- 1.12810910e+13
x_ZR70_Phase0   6.59920399e-01 +/- 1.07747313e+13
x_ZR71_Phase0   3.40255349e-01 +/- 9.98313570e+12
x_ZR72_Phase0   3.41009473e-01 +/- 9.50444374e+12
x_ZR73_Phase0   6.59231156e-01 +/- 1.03787218e+13
x_ZR74_Phase0   8.42142878e-01 +/- 1.05468521e+13
x_ZR75_Phase0   1.58039145e-01 +/- 7.09523292e+12
x_ZR76_Phase0   3.33449215e-01 +/- 1.02713465e+13
x_ZR77_Phase0   6.66670526e-01 +/- 1.10104712e+13
x_ZR78_Phase0   6.68496705e-01 +/- 1.16971534e+13
x_ZR79_Phase0   3.31710989e-01 +/- 9.70140772e+12
x_ZR7_Phase0    4.99633487e-01 +/- 1.14916710e+13
x_ZR80_Phase0   8.32825120e-01 +/- 1.11214882e+13
x_ZR81_Phase0   1.67197238e-01 +/- 7.94180025e+12
x_ZR82_Phase0   1.69487160e-01 +/- 7.91003412e+12
x_ZR83_Phase0   8.30622111e-01 +/- 1.13458682e+13
x_ZR84_Phase0   1.64443518e-01 +/- 7.42569744e+12
x_ZR85_Phase0   8.35400489e-01 +/- 1.09164173e+13
x_ZR86_Phase0   3.35172883e-01 +/- 9.86892524e+12
x_ZR87_Phase0   6.65315854e-01 +/- 1.10771773e+13
x_ZR88_Phase0   8.35349487e-01 +/- 1.06847443e+13
x_ZR89_Phase0   1.64552997e-01 +/- 7.47363270e+12
x_ZR8_Phase0    4.93675939e-01 +/- 1.05028105e+13
x_ZR90_Phase0   6.63460646e-01 +/- 1.14605633e+13
x_ZR91_Phase0   3.36509002e-01 +/- 1.04157215e+13
x_ZR92_Phase0   1.73698638e-01 +/- 8.10856826e+12
x_ZR93_Phase0   8.26413627e-01 +/- 1.15081220e+13
x_ZR94_Phase0   6.67879634e-01 +/- 1.11354501e+13
x_ZR95_Phase0   3.32494113e-01 +/- 1.01463185e+13
x_ZR96_Phase0   3.26486540e-01 +/- 9.18116372e+12
x_ZR97_Phase0   6.73619135e-01 +/- 1.09598485e+13
x_ZR98_Phase0   8.28866486e-01 +/- 1.10990668e+13
x_ZR99_Phase0   1.71670271e-01 +/- 7.34740414e+12
x_ZR9_Phase0    5.06403909e-01 +/- 1.03904823e+13
y_O0_Phase0     3.47529230e-01 +/- 1.17342021e+13
y_O100_Phase0   8.71836982e-01 +/- 1.46194778e+13
y_O101_Phase0   1.28139758e-01 +/- 6.53761795e+12
y_O102_Phase0   1.29316610e-01 +/- 6.52664860e+12
y_O120_Phase0   4.34039423e-01 +/- 1.21601950e+13
y_O122_Phase0   5.73786173e-01 +/- 1.03353804e+13
y_O124_Phase0   9.34508502e-01 +/- 1.30757231e+13
y_O126_Phase0   6.51015716e-02 +/- 3.65582070e+12
y_O144_Phase0   2.71326489e-01 +/- 1.04728484e+13
y_O146_Phase0   7.28577898e-01 +/- 1.35909153e+13
y_O148_Phase0   7.69664365e-01 +/- 1.38882904e+13
y_O150_Phase0   2.28576352e-01 +/- 1.05193036e+13
y_O151_Phase0   7.71524832e-01 +/- 1.44215610e+13
y_O168_Phase0   1.90026570e-01 +/- 9.10698141e+12
y_O170_Phase0   8.09606399e-01 +/- 1.36614207e+13
y_O172_Phase0   6.90785633e-01 +/- 1.41428609e+13
y_O174_Phase0   3.08483615e-01 +/- 1.16358469e+13
y_O175_Phase0   6.90821117e-01 +/- 1.41978992e+13
y_O181_Phase0   7.41876328e-02 +/- 4.38371694e+12
y_O182_Phase0   5.75132431e-01 +/- 1.39451129e+13
y_O189_Phase0   8.68644010e-01 +/- 1.48289568e+13
y_O192_Phase0   4.03462099e-01 +/- 1.30365150e+13
y_O193_Phase0   5.96747808e-01 +/- 1.35922931e+13
y_O194_Phase0   5.97803086e-01 +/- 1.28842689e+13
y_O196_Phase0   9.03533118e-01 +/- 1.44595266e+13
y_O197_Phase0   9.64636036e-02 +/- 5.55964352e+12
y_O198_Phase0   9.89002491e-02 +/- 5.00077987e+12
y_O205_Phase0   2.19497603e-02 +/- 1.29746226e+12
y_O218_Phase0   6.60924840e-01 +/- 1.29200160e+13
y_O224_Phase0   3.15059744e-01 +/- 1.14004984e+13
y_O226_Phase0   6.82503860e-01 +/- 1.43455582e+13
y_O228_Phase0   8.17801924e-01 +/- 1.45109659e+13
y_O230_Phase0   1.84379569e-01 +/- 8.34104905e+12
y_O234_Phase0   3.40258151e-01 +/- 1.17586099e+13
y_O236_Phase0   8.39995150e-01 +/- 1.41794445e+13
y_O248_Phase0   1.71780668e-01 +/- 8.09888716e+12
y_O24_Phase0    4.31585401e-01 +/- 1.20540268e+13
y_O250_Phase0   8.28341522e-01 +/- 1.44454224e+13
y_O251_Phase0   1.71534264e-01 +/- 8.74885701e+12
y_O252_Phase0   6.68986879e-01 +/- 1.32390562e+13
y_O254_Phase0   3.28629611e-01 +/- 1.12651388e+13
y_O26_Phase0    5.69252816e-01 +/- 1.34235875e+13
y_O272_Phase0   1.73644355e-01 +/- 7.54500707e+12
y_O274_Phase0   8.28398165e-01 +/- 1.33994429e+13
y_O276_Phase0   6.72538032e-01 +/- 1.34567266e+13
y_O278_Phase0   3.27246674e-01 +/- 1.17191329e+13
y_O28_Phase0    9.31030499e-01 +/- 1.39834442e+13
y_O296_Phase0   3.48480909e-01 +/- 1.09574860e+13
y_O298_Phase0   6.52508306e-01 +/- 1.32580033e+13
y_O2_Phase0     6.51883956e-01 +/- 1.31529475e+13
y_O300_Phase0   8.47216946e-01 +/- 1.32744795e+13
y_O302_Phase0   1.50502504e-01 +/- 7.93334933e+12
y_O30_Phase0    6.78512528e-02 +/- 3.57781900e+12
y_O320_Phase0   3.78128524e-01 +/- 1.30832627e+13
y_O322_Phase0   6.22109996e-01 +/- 1.32630967e+13
y_O324_Phase0   8.78042243e-01 +/- 1.39769256e+13
y_O326_Phase0   1.21763290e-01 +/- 6.54253538e+12
y_O328_Phase0   3.58506096e-01 +/- 1.23363040e+13
y_O344_Phase0   4.06691175e-02 +/- 2.52704249e+12
y_O346_Phase0   9.58861053e-01 +/- 1.38685433e+13
y_O348_Phase0   5.41461882e-01 +/- 1.28039298e+13
y_O350_Phase0   4.59084711e-01 +/- 1.22344391e+13
y_O368_Phase0   3.00957843e-01 +/- 1.15430265e+13
y_O370_Phase0   6.97969053e-01 +/- 1.35802277e+13
y_O372_Phase0   8.02816926e-01 +/- 1.38948263e+13
y_O374_Phase0   1.97924998e-01 +/- 8.83134600e+12
