Results written: Thu Mar  5 15:27:04 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01684734
Contributions  0.01684734
Restraints     0.00000000
Chi2           3.45586848
Reduced Chi2   0.00517346
Rw             0.12979731

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O588_Phase0   1.63377256e-01 +/- 7.61940540e+12
x_O589_Phase0   8.36621749e-01 +/- 1.01393835e+13
x_O590_Phase0   3.36702932e-01 +/- 9.41647886e+12
x_O591_Phase0   6.63297637e-01 +/- 9.96603257e+12
x_O592_Phase0   8.36672461e-01 +/- 1.01472478e+13
x_O593_Phase0   1.63328212e-01 +/- 7.57283664e+12
x_O594_Phase0   6.62604280e-01 +/- 1.00550240e+13
x_O595_Phase0   3.37395054e-01 +/- 9.32270869e+12
x_O5_Phase0     3.97541099e-02 +/- 2.56369776e+12
x_O612_Phase0   2.55332996e-01 +/- 8.62970108e+12
x_O613_Phase0   7.44655012e-01 +/- 9.75720824e+12
x_O614_Phase0   2.47039690e-01 +/- 8.51330764e+12
x_O615_Phase0   7.52955363e-01 +/- 9.49856736e+12
x_O616_Phase0   7.46887109e-01 +/- 9.57670476e+12
x_O617_Phase0   2.53112706e-01 +/- 8.21872620e+12
x_O618_Phase0   7.56073357e-01 +/- 9.85262437e+12
x_O619_Phase0   2.43926688e-01 +/- 8.74540738e+12
x_O636_Phase0   2.00537402e-01 +/- 8.33060348e+12
x_O637_Phase0   7.99462821e-01 +/- 1.01723575e+13
x_O638_Phase0   3.00336479e-01 +/- 9.17166536e+12
x_O639_Phase0   6.99663988e-01 +/- 1.01037617e+13
x_O640_Phase0   8.00443563e-01 +/- 1.01875771e+13
x_O641_Phase0   1.99556824e-01 +/- 8.15635948e+12
x_O642_Phase0   6.99801926e-01 +/- 1.01530277e+13
x_O643_Phase0   3.00198287e-01 +/- 9.23712155e+12
x_O660_Phase0   1.43350522e-01 +/- 6.53450230e+12
x_O661_Phase0   8.56650388e-01 +/- 1.02394006e+13
x_O662_Phase0   3.55967983e-01 +/- 9.48398502e+12
x_O663_Phase0   6.44032683e-01 +/- 1.00359092e+13
x_O664_Phase0   8.55728478e-01 +/- 1.02152756e+13
x_O665_Phase0   1.44245785e-01 +/- 6.88996849e+12
x_O666_Phase0   6.44487744e-01 +/- 1.01063277e+13
