Results written: Mon Mar  2 07:36:39 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01224365
Contributions  0.01224365
Restraints     0.00000000
Chi2           2.31512012
Reduced Chi2   0.00784786
Rw             0.11065101

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_V73_Phase0    7.98769000e-01 +/- 2.29403928e+11
x_V74_Phase0    3.04909000e-01 +/- 2.11919509e+11
x_V76_Phase0    8.04100000e-01 +/- 2.59713383e+11
x_V78_Phase0    6.97939000e-01 +/- 1.69933648e+11
x_V82_Phase0    9.68663000e-01 +/- 2.55394471e+11
x_V83_Phase0    3.14030000e-02 +/- 3.47734134e+10
x_V84_Phase0    3.14250000e-02 +/- 3.19720444e+10
x_V91_Phase0    3.71259000e-01 +/- 2.31279468e+11
x_V96_Phase0    1.28600000e-01 +/- 1.13628791e+11
x_V97_Phase0    8.71408000e-01 +/- 2.40611736e+11
x_V98_Phase0    3.70873000e-01 +/- 1.62689621e+11
x_V9_Phase0     7.84878000e-01 +/- 2.47919240e+11
x_ZR0_Phase0    1.32700002e-03 +/- 1.48452851e+09
x_ZR100_Phase0  5.01654000e-01 +/- 2.14092382e+11
x_ZR101_Phase0  4.98489000e-01 +/- 2.06150446e+11
x_ZR102_Phase0  4.94919000e-01 +/- 1.89598517e+11
x_ZR103_Phase0  5.03365000e-01 +/- 1.96634092e+11
x_ZR104_Phase0  5.01999904e-04 +/- 5.55780465e+08
x_ZR105_Phase0  9.99488000e-01 +/- 2.10510035e+11
x_ZR106_Phase0  9.98009000e-01 +/- 2.11586025e+11
x_ZR107_Phase0  2.09800008e-03 +/- 2.33027230e+09
x_ZR10_Phase0   9.93336000e-01 +/- 1.78674552e+11
x_ZR11_Phase0   6.69699997e-03 +/- 7.37607162e+09
x_ZR12_Phase0   2.75299995e-03 +/- 3.13359450e+09
x_ZR13_Phase0   9.97121000e-01 +/- 2.05883612e+11
x_ZR14_Phase0   5.03881000e-01 +/- 2.03288518e+11
x_ZR15_Phase0   4.96695000e-01 +/- 1.93495833e+11
x_ZR16_Phase0   3.37700000e-01 +/- 1.58022830e+11
x_ZR17_Phase0   6.62470000e-01 +/- 1.84006814e+11
x_ZR18_Phase0   6.62344000e-01 +/- 2.14561226e+11
x_ZR19_Phase0   3.37668000e-01 +/- 1.78287744e+11
x_ZR1_Phase0    9.98729000e-01 +/- 2.03760915e+11
x_ZR20_Phase0   8.34551000e-01 +/- 2.17135791e+11
x_ZR21_Phase0   1.65393000e-01 +/- 1.45120547e+11
x_ZR22_Phase0   1.63926000e-01 +/- 1.38028901e+11
x_ZR23_Phase0   8.35976000e-01 +/- 2.10981211e+11
x_ZR24_Phase0   4.99776000e-01 +/- 1.88775581e+11
x_ZR25_Phase0   9.99961000e-01 +/- 2.28541139e+11
x_ZR26_Phase0   5.00047000e-01 +/- 2.32684470e+11
x_ZR27_Phase0   7.40000273e-05 +/- 8.55959117e+07
x_ZR28_Phase0   1.64739000e-01 +/- 1.27217713e+11
x_ZR29_Phase0   8.35061000e-01 +/- 2.06585680e+11
x_ZR2_Phase0    4.95953000e-01 +/- 1.98541627e+11
x_ZR30_Phase0   3.34699000e-01 +/- 1.86698468e+11
x_ZR31_Phase0   6.65489000e-01 +/- 2.24801158e+11
x_ZR32_Phase0   8.36453000e-01 +/- 2.07937523e+11
x_ZR33_Phase0   1.63876000e-01 +/- 1.40712257e+11
x_ZR34_Phase0   6.65185000e-01 +/- 2.11146217e+11
x_ZR35_Phase0   3.34638000e-01 +/- 1.88128784e+11
x_ZR36_Phase0   1.70243000e-01 +/- 1.41496833e+11
x_ZR37_Phase0   8.29679000e-01 +/- 2.10728829e+11
x_ZR38_Phase0   3.32685000e-01 +/- 2.04643128e+11
