Results written: Mon Mar 23 12:21:18 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.03408042
Contributions  0.03149704
Restraints     0.00258339
Chi2           3.66099729
Reduced Chi2   0.01241016
Rw             0.18444056

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O588_Phase0   1.63415958e-01 +/- 2.03723403e+13
x_O590_Phase0   3.36738738e-01 +/- 2.70728723e+13
x_O592_Phase0   8.36689979e-01 +/- 3.31413658e+13
x_O594_Phase0   6.62627103e-01 +/- 3.44810400e+13
x_O612_Phase0   2.55206701e-01 +/- 2.46490552e+13
x_O614_Phase0   2.46958891e-01 +/- 2.44618241e+13
x_O616_Phase0   7.46834856e-01 +/- 2.95416159e+13
x_O618_Phase0   7.56061665e-01 +/- 3.22521273e+13
x_O636_Phase0   2.00655025e-01 +/- 2.40627016e+13
x_O638_Phase0   3.00265010e-01 +/- 2.81589192e+13
x_O640_Phase0   8.00374794e-01 +/- 3.41887978e+13
x_O642_Phase0   6.99902695e-01 +/- 3.39371857e+13
x_O660_Phase0   1.43322246e-01 +/- 1.73864824e+13
x_O662_Phase0   3.56019150e-01 +/- 2.87138486e+13
x_O664_Phase0   8.55751773e-01 +/- 3.74085182e+13
x_O665_Phase0   1.44227471e-01 +/- 2.02428528e+13
x_O666_Phase0   6.44428548e-01 +/- 3.28092805e+13
x_O684_Phase0   7.09624993e-02 +/- 1.01017711e+13
x_O686_Phase0   4.30996401e-01 +/- 3.25605694e+13
x_O688_Phase0   9.30231928e-01 +/- 3.77642757e+13
x_O689_Phase0   6.98244932e-02 +/- 1.08479977e+13
x_O690_Phase0   5.69838276e-01 +/- 3.14284879e+13
x_O6_Phase0     5.40602654e-01 +/- 3.39461422e+13
x_O702_Phase0   6.99110885e-01 +/- 3.81740289e+13
x_O708_Phase0   1.36751079e-01 +/- 1.77053188e+13
x_O710_Phase0   3.63438833e-01 +/- 2.99849062e+13
x_O712_Phase0   8.63801926e-01 +/- 3.74564887e+13
x_O713_Phase0   1.36190994e-01 +/- 1.84231517e+13
x_O714_Phase0   6.36620264e-01 +/- 3.28268972e+13
x_O72_Phase0    2.68268663e-02 +/- 4.09258665e+12
