Results written: Sun Feb 22 06:01:07 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01700831
Contributions  0.01697609
Restraints     0.00003223
Chi2           2.75772140
Reduced Chi2   0.00065133
Rw             0.13040477

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O218_Phase0   1.62309088e-01 +/- 5.09867011e+13
x_O219_Phase0   8.37689397e-01 +/- 5.32869732e+13
x_O21_Phase0    1.51495728e-01 +/- 4.94238733e+13
x_O220_Phase0   6.60599783e-01 +/- 5.29563055e+13
x_O221_Phase0   3.39393857e-01 +/- 5.27212683e+13
x_O222_Phase0   8.41191480e-01 +/- 5.29133074e+13
x_O223_Phase0   1.58807291e-01 +/- 5.11266850e+13
x_O224_Phase0   1.57801509e-01 +/- 4.97227505e+13
x_O225_Phase0   8.42196006e-01 +/- 5.30817990e+13
x_O226_Phase0   3.39077154e-01 +/- 5.23163509e+13
x_O227_Phase0   6.60924557e-01 +/- 5.29149647e+13
x_O228_Phase0   8.38963482e-01 +/- 5.31008902e+13
x_O229_Phase0   1.61037991e-01 +/- 4.91216648e+13
x_O22_Phase0    1.51953523e-01 +/- 5.10907342e+13
x_O230_Phase0   6.58691415e-01 +/- 5.32470264e+13
x_O231_Phase0   3.41334379e-01 +/- 5.22473789e+13
x_O232_Phase0   5.00970529e-01 +/- 5.28558767e+13
x_O233_Phase0   4.99029270e-01 +/- 5.27120598e+13
x_O234_Phase0   1.88777948e-03 +/- 2.36808336e+12
x_O235_Phase0   9.98111702e-01 +/- 5.30896958e+13
x_O236_Phase0   9.97409282e-01 +/- 5.33507327e+13
x_O237_Phase0   2.59297806e-03 +/- 2.70738335e+12
x_O238_Phase0   4.98281896e-01 +/- 5.29825906e+13
x_O239_Phase0   5.01722842e-01 +/- 5.28743107e+13
x_O23_Phase0    8.48042309e-01 +/- 5.34049673e+13
x_O240_Phase0   3.15151067e-01 +/- 5.20496586e+13
x_O241_Phase0   6.84847141e-01 +/- 5.28581801e+13
x_O242_Phase0   6.84494086e-01 +/- 5.29879021e+13
x_O243_Phase0   3.15503393e-01 +/- 5.22294132e+13
x_O244_Phase0   8.16368258e-01 +/- 5.31250901e+13
x_O245_Phase0   1.83630416e-01 +/- 5.12287969e+13
x_O246_Phase0   1.84183522e-01 +/- 5.13277277e+13
x_O247_Phase0   8.15835467e-01 +/- 5.29572530e+13
x_O248_Phase0   1.63980362e-01 +/- 5.09080045e+13
x_O249_Phase0   8.36021137e-01 +/- 5.32318021e+13
x_O24_Phase0    2.27297172e-02 +/- 1.79905408e+13
x_O250_Phase0   3.37720772e-01 +/- 5.34743268e+13
x_O251_Phase0   6.62182823e-01 +/- 5.30416208e+13
x_O252_Phase0   8.35068490e-01 +/- 5.39783950e+13
x_O253_Phase0   1.64937787e-01 +/- 5.17339268e+13
x_O254_Phase0   6.63047580e-01 +/- 5.39324109e+13
x_O255_Phase0   3.36955755e-01 +/- 5.26607399e+13
x_O256_Phase0   3.22045758e-01 +/- 5.21416916e+13
x_O257_Phase0   6.77954396e-01 +/- 5.30190073e+13
x_O258_Phase0   8.21781572e-01 +/- 5.32916848e+13
x_O259_Phase0   1.78153481e-01 +/- 5.07835771e+13
x_O25_Phase0    9.77270818e-01 +/- 5.32904385e+13
