Results written: Sat Feb 21 14:26:37 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01769306
Contributions  0.00887112
Restraints     0.00882194
Chi2           2.84641363
Reduced Chi2   0.00964886
Rw             0.13248518

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_ZR29_Phase0   8.35184261e-01 +/- 5.14732051e+13
x_ZR2_Phase0    4.95995305e-01 +/- 4.84688338e+13
x_ZR30_Phase0   3.34782895e-01 +/- 4.41504732e+13
x_ZR31_Phase0   6.65413272e-01 +/- 5.16411569e+13
x_ZR32_Phase0   8.36688806e-01 +/- 5.16753312e+13
x_ZR33_Phase0   1.63668212e-01 +/- 2.81621084e+13
x_ZR34_Phase0   6.64962025e-01 +/- 5.15103490e+13
x_ZR35_Phase0   3.34866663e-01 +/- 4.49979926e+13
x_ZR36_Phase0   1.70457424e-01 +/- 3.04004452e+13
x_ZR37_Phase0   8.29428955e-01 +/- 5.07560930e+13
x_ZR38_Phase0   3.32906173e-01 +/- 4.37109998e+13
x_ZR39_Phase0   6.67158190e-01 +/- 5.18345523e+13
x_ZR3_Phase0    5.04006591e-01 +/- 4.67820083e+13
x_ZR40_Phase0   8.38265300e-01 +/- 5.20852889e+13
x_ZR41_Phase0   1.61647342e-01 +/- 3.08781991e+13
x_ZR42_Phase0   6.65975071e-01 +/- 5.20075961e+13
x_ZR43_Phase0   3.33560902e-01 +/- 4.54733615e+13
x_ZR44_Phase0   3.32818738e-01 +/- 4.34342204e+13
x_ZR45_Phase0   6.67564334e-01 +/- 5.10772210e+13
x_ZR46_Phase0   8.30758790e-01 +/- 5.24117726e+13
x_ZR47_Phase0   1.68894790e-01 +/- 3.15113362e+13
x_ZR48_Phase0   1.70963903e-01 +/- 3.14198791e+13
x_ZR49_Phase0   8.28907889e-01 +/- 5.21565041e+13
x_ZR4_Phase0    9.96974145e-01 +/- 5.05209669e+13
x_ZR50_Phase0   6.67280172e-01 +/- 5.10446906e+13
x_ZR51_Phase0   3.31967222e-01 +/- 4.61126216e+13
x_ZR52_Phase0   3.35910810e-01 +/- 4.57428357e+13
x_ZR53_Phase0   6.64179211e-01 +/- 5.22525819e+13
x_ZR54_Phase0   6.61388397e-01 +/- 5.13192492e+13
x_ZR55_Phase0   3.37687638e-01 +/- 4.52496410e+13
x_ZR56_Phase0   8.35832892e-01 +/- 5.18328211e+13
x_ZR57_Phase0   1.64316250e-01 +/- 2.93931667e+13
x_ZR58_Phase0   1.61587044e-01 +/- 2.95014550e+13
x_ZR59_Phase0   8.38539906e-01 +/- 5.21165396e+13
x_ZR5_Phase0    2.76127982e-03 +/- 5.80343350e+11
x_ZR60_Phase0   5.66895192e-03 +/- 1.19387845e+12
x_ZR61_Phase0   9.94017663e-01 +/- 5.18815664e+13
x_ZR62_Phase0   4.97992775e-01 +/- 5.08959276e+13
x_ZR63_Phase0   5.02216060e-01 +/- 4.98154856e+13
x_ZR64_Phase0   9.98268724e-01 +/- 5.12730144e+13
x_ZR65_Phase0   2.08903004e-03 +/- 4.43036834e+11
x_ZR66_Phase0   5.05657150e-01 +/- 4.91875555e+13
x_ZR67_Phase0   4.93969374e-01 +/- 4.84053102e+13
x_ZR68_Phase0   1.61185345e-01 +/- 2.94657456e+13
x_ZR69_Phase0   8.39087697e-01 +/- 5.22536869e+13
x_ZR6_Phase0    5.00224246e-01 +/- 4.88456041e+13
x_ZR70_Phase0   6.60160959e-01 +/- 5.22871246e+13
x_ZR71_Phase0   3.39965182e-01 +/- 4.47027479e+13
x_ZR72_Phase0   3.40584987e-01 +/- 4.43398712e+13
x_ZR73_Phase0   6.59600220e-01 +/- 5.29988130e+13
x_ZR74_Phase0   8.41788195e-01 +/- 5.17455708e+13
x_ZR75_Phase0   1.58339983e-01 +/- 2.99362492e+13
x_ZR76_Phase0   3.33656612e-01 +/- 4.35954198e+13
x_ZR77_Phase0   6.66476057e-01 +/- 5.19423204e+13
x_ZR78_Phase0   6.68210796e-01 +/- 5.02477420e+13
x_ZR79_Phase0   3.32002897e-01 +/- 4.44418473e+13
x_ZR7_Phase0    4.99886618e-01 +/- 5.03785367e+13
x_ZR80_Phase0   8.33160223e-01 +/- 5.19846110e+13
x_ZR81_Phase0   1.66829688e-01 +/- 3.10948109e+13
x_ZR82_Phase0   1.69276927e-01 +/- 3.13640665e+13
x_ZR83_Phase0   8.30831452e-01 +/- 5.11084097e+13
x_ZR84_Phase0   1.64825302e-01 +/- 3.19245583e+13
x_ZR85_Phase0   8.35013767e-01 +/- 5.24143232e+13
x_ZR86_Phase0   3.34864542e-01 +/- 4.21569678e+13
x_ZR87_Phase0   6.65829707e-01 +/- 5.14188481e+13
x_ZR88_Phase0   8.35268031e-01 +/- 5.19719553e+13
x_ZR89_Phase0   1.64603009e-01 +/- 2.86870320e+13
x_ZR8_Phase0    4.93515669e-01 +/- 5.00929334e+13
x_ZR90_Phase0   6.63835580e-01 +/- 5.19578859e+13
x_ZR91_Phase0   3.36143030e-01 +/- 4.65014948e+13
x_ZR92_Phase0   1.73542804e-01 +/- 2.99389297e+13
x_ZR93_Phase0   8.26486035e-01 +/- 5.26357386e+13
x_ZR94_Phase0   6.67671902e-01 +/- 5.15406118e+13
x_ZR95_Phase0   3.32804020e-01 +/- 4.44218714e+13
x_ZR96_Phase0   3.26573077e-01 +/- 4.53374002e+13
x_ZR97_Phase0   6.73484584e-01 +/- 5.09815798e+13
x_ZR98_Phase0   8.28696526e-01 +/- 5.17607644e+13
x_ZR99_Phase0   1.71692686e-01 +/- 3.31501230e+13
x_ZR9_Phase0    5.06536731e-01 +/- 4.76413044e+13
y_O0_Phase0     3.47450118e-01 +/- 4.26802045e+13
y_O100_Phase0   8.71673111e-01 +/- 5.56584529e+13
y_O101_Phase0   1.28152418e-01 +/- 2.51231916e+13
y_O102_Phase0   1.29393684e-01 +/- 2.35470684e+13
y_O120_Phase0   4.33210008e-01 +/- 4.22126406e+13
y_O122_Phase0   5.74002165e-01 +/- 3.42511482e+13
y_O124_Phase0   9.33733394e-01 +/- 4.59648370e+13
y_O126_Phase0   6.56925811e-02 +/- 1.48502070e+13
y_O144_Phase0   2.71038563e-01 +/- 4.04227987e+13
y_O146_Phase0   7.28729826e-01 +/- 4.85883609e+13
y_O148_Phase0   7.69425041e-01 +/- 4.71617971e+13
y_O150_Phase0   2.28558312e-01 +/- 3.86673126e+13
y_O151_Phase0   7.71530666e-01 +/- 5.42161274e+13
y_O168_Phase0   1.89797259e-01 +/- 3.33516669e+13
y_O170_Phase0   8.09909950e-01 +/- 4.91935272e+13
y_O172_Phase0   6.90615971e-01 +/- 5.08319121e+13
y_O174_Phase0   3.08525916e-01 +/- 4.30232108e+13
y_O175_Phase0   6.90694703e-01 +/- 5.34723300e+13
y_O181_Phase0   7.41820660e-02 +/- 1.54827081e+13
y_O182_Phase0   5.75176578e-01 +/- 5.22084789e+13
y_O189_Phase0   8.68638104e-01 +/- 5.69896074e+13
y_O192_Phase0   4.03392690e-01 +/- 4.79726803e+13
y_O193_Phase0   5.96694489e-01 +/- 5.21735025e+13
y_O194_Phase0   5.97456194e-01 +/- 4.60129471e+13
y_O196_Phase0   9.03235996e-01 +/- 4.92648596e+13
y_O197_Phase0   9.65606916e-02 +/- 1.76485995e+13
y_O198_Phase0   9.90179551e-02 +/- 2.07357053e+13
y_O205_Phase0   2.19805911e-02 +/- 4.08002470e+12
y_O218_Phase0   6.60631678e-01 +/- 4.38384716e+13
y_O224_Phase0   3.15141643e-01 +/- 3.89818758e+13
y_O226_Phase0   6.82613023e-01 +/- 5.52520405e+13
y_O228_Phase0   8.17735812e-01 +/- 5.58384695e+13
y_O230_Phase0   1.84201287e-01 +/- 3.09871710e+13
y_O234_Phase0   3.40504031e-01 +/- 4.50371254e+13
y_O236_Phase0   8.40328194e-01 +/- 5.24790419e+13
y_O248_Phase0   1.71982859e-01 +/- 3.01934362e+13
y_O24_Phase0    4.31638655e-01 +/- 4.29717440e+13
y_O250_Phase0   8.28326400e-01 +/- 5.46613722e+13
y_O251_Phase0   1.71552146e-01 +/- 3.20417080e+13
y_O252_Phase0   6.68961216e-01 +/- 4.69989765e+13
y_O254_Phase0   3.28686445e-01 +/- 4.05336486e+13
