Results written: Sat Feb  7 09:43:43 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01781538
Contributions  0.01742556
Restraints     0.00038982
Chi2           2.50986516
Reduced Chi2   0.00868465
Rw             0.13344186

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O595_Phase0   3.37713487e-01 +/- 4.57087203e+13
x_O612_Phase0   2.54957024e-01 +/- 4.17530321e+13
x_O613_Phase0   7.45067485e-01 +/- 4.77878957e+13
x_O614_Phase0   2.48111928e-01 +/- 3.96435729e+13
x_O615_Phase0   7.51928152e-01 +/- 4.80386351e+13
x_O616_Phase0   7.47760526e-01 +/- 4.78767391e+13
x_O617_Phase0   2.52241570e-01 +/- 4.13804024e+13
x_O618_Phase0   7.55820561e-01 +/- 4.91908411e+13
x_O619_Phase0   2.44191107e-01 +/- 4.04796074e+13
x_O636_Phase0   2.00739471e-01 +/- 3.78028771e+13
x_O638_Phase0   3.00307333e-01 +/- 4.01314959e+13
x_O640_Phase0   7.99905262e-01 +/- 4.48672419e+13
x_O642_Phase0   7.00247611e-01 +/- 4.51707180e+13
x_O660_Phase0   1.43256073e-01 +/- 2.77900371e+13
x_O662_Phase0   3.56056258e-01 +/- 4.39177135e+13
x_O664_Phase0   8.55619579e-01 +/- 4.96252272e+13
x_O665_Phase0   1.44334042e-01 +/- 3.18859996e+13
x_O666_Phase0   6.44603435e-01 +/- 4.50484768e+13
x_O671_Phase0   3.04200125e-01 +/- 4.57551139e+13
x_O675_Phase0   1.96033952e-01 +/- 3.81849306e+13
x_O684_Phase0   7.04964529e-02 +/- 1.83579143e+13
x_O686_Phase0   4.30978937e-01 +/- 4.83694282e+13
x_O687_Phase0   5.69077799e-01 +/- 5.03007326e+13
x_O688_Phase0   9.30540030e-01 +/- 4.94913898e+13
x_O689_Phase0   6.95504285e-02 +/- 1.75613759e+13
x_O690_Phase0   5.69359056e-01 +/- 4.16553336e+13
x_O6_Phase0     5.40834863e-01 +/- 4.56196693e+13
x_O702_Phase0   6.99166962e-01 +/- 5.18814217e+13
x_O703_Phase0   3.00805252e-01 +/- 4.62829733e+13
x_O708_Phase0   1.36449003e-01 +/- 2.75825284e+13
x_O710_Phase0   3.63580010e-01 +/- 4.40126149e+13
x_O712_Phase0   8.63814188e-01 +/- 5.00205081e+13
x_O713_Phase0   1.36191352e-01 +/- 3.20818125e+13
x_O714_Phase0   6.36555251e-01 +/- 4.96506999e+13
x_O715_Phase0   3.63473953e-01 +/- 4.58277049e+13
x_O719_Phase0   2.36746850e-01 +/- 4.15360931e+13
x_O72_Phase0    2.62702053e-02 +/- 8.54658403e+12
