Results written: Sun Mar 22 12:18:37 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.03575706
Contributions  0.03565702
Restraints     0.00010004
Chi2           3.87064093
Reduced Chi2   0.01312082
Rw             0.18908906

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O612_Phase0   2.55282012e-01 +/- 1.47491810e+13
x_O614_Phase0   2.46746546e-01 +/- 1.38909864e+13
x_O616_Phase0   7.46624964e-01 +/- 1.71577385e+13
x_O618_Phase0   7.56221632e-01 +/- 1.88408642e+13
x_O636_Phase0   2.00616316e-01 +/- 1.30101645e+13
x_O638_Phase0   3.00285043e-01 +/- 1.68059230e+13
x_O640_Phase0   8.00415662e-01 +/- 1.94654106e+13
x_O642_Phase0   6.99851127e-01 +/- 1.94811935e+13
x_O660_Phase0   1.43357852e-01 +/- 1.08263123e+13
x_O662_Phase0   3.55976758e-01 +/- 1.68086391e+13
x_O664_Phase0   8.55731762e-01 +/- 2.12419536e+13
x_O665_Phase0   1.44247680e-01 +/- 1.14104793e+13
x_O666_Phase0   6.44489690e-01 +/- 1.87002808e+13
x_O684_Phase0   7.09720568e-02 +/- 6.22101953e+12
x_O686_Phase0   4.30970873e-01 +/- 1.73326365e+13
x_O688_Phase0   9.30186632e-01 +/- 2.20022440e+13
x_O689_Phase0   6.98632332e-02 +/- 5.83044938e+12
x_O690_Phase0   5.69831728e-01 +/- 1.82833439e+13
x_O6_Phase0     5.40593411e-01 +/- 1.95507456e+13
x_O702_Phase0   6.99124072e-01 +/- 2.16832780e+13
x_O708_Phase0   1.36805524e-01 +/- 1.06687095e+13
x_O710_Phase0   3.63424426e-01 +/- 1.68128467e+13
x_O712_Phase0   8.63798433e-01 +/- 2.18800759e+13
x_O713_Phase0   1.36195235e-01 +/- 1.00272423e+13
x_O714_Phase0   6.36605848e-01 +/- 1.92732229e+13
