Results written: Wed Mar 11 09:34:44 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01895148
Contributions  0.01893037
Restraints     0.00002111
Chi2           2.86505653
Reduced Chi2   0.00442822
Rw             0.13766231

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O4_Phase0     9.60286817e-01 +/- 4.83813880e+13
x_O50_Phase0    4.90777451e-01 +/- 4.60221475e+13
x_O516_Phase0   1.02762981e-01 +/- 2.84745314e+13
x_O517_Phase0   8.97237025e-01 +/- 4.71271202e+13
x_O518_Phase0   3.97425269e-01 +/- 4.48933915e+13
x_O519_Phase0   6.02574738e-01 +/- 4.67758354e+13
x_O51_Phase0    5.09222539e-01 +/- 4.65470403e+13
x_O520_Phase0   8.97866880e-01 +/- 4.73813960e+13
x_O521_Phase0   1.02133112e-01 +/- 2.73173239e+13
x_O522_Phase0   6.02555243e-01 +/- 4.67516885e+13
x_O523_Phase0   3.97444756e-01 +/- 4.53304953e+13
x_O52_Phase0    9.90993675e-01 +/- 4.80420060e+13
x_O53_Phase0    9.00632120e-03 +/- 2.51679087e+12
x_O540_Phase0   2.54786986e-02 +/- 8.05561900e+12
x_O541_Phase0   9.74521305e-01 +/- 4.84457066e+13
x_O542_Phase0   4.74040721e-01 +/- 4.61023800e+13
x_O543_Phase0   5.25959279e-01 +/- 4.64763291e+13
x_O544_Phase0   9.76210923e-01 +/- 4.77797152e+13
x_O545_Phase0   2.37890783e-02 +/- 6.33212988e+12
x_O546_Phase0   5.25632487e-01 +/- 4.62838280e+13
x_O547_Phase0   4.74367507e-01 +/- 4.63184547e+13
x_O54_Phase0    5.10182739e-01 +/- 4.67162991e+13
x_O55_Phase0    4.89817256e-01 +/- 4.60711395e+13
x_O564_Phase0   4.00241122e-02 +/- 1.35782635e+13
x_O565_Phase0   9.59975883e-01 +/- 4.83843593e+13
x_O566_Phase0   4.58564767e-01 +/- 4.55632540e+13
x_O567_Phase0   5.41435229e-01 +/- 4.67170192e+13
x_O568_Phase0   9.60826538e-01 +/- 5.06908682e+13
x_O569_Phase0   3.91734457e-02 +/- 1.25546605e+13
x_O570_Phase0   5.40632173e-01 +/- 4.70188045e+13
x_O571_Phase0   4.59367826e-01 +/- 4.57768731e+13
x_O576_Phase0   2.24048550e-01 +/- 4.23825197e+13
x_O577_Phase0   7.75951444e-01 +/- 5.04619614e+13
x_O584_Phase0   6.39759118e-01 +/- 4.98825597e+13
x_O588_Phase0   1.63322906e-01 +/- 3.63308842e+13
x_O589_Phase0   8.36677089e-01 +/- 4.77851074e+13
x_O590_Phase0   3.36810680e-01 +/- 4.33238177e+13
x_O591_Phase0   6.63189326e-01 +/- 4.67000149e+13
x_O592_Phase0   8.36749928e-01 +/- 4.77426378e+13
