Results written: Wed Feb 11 20:22:22 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.02065118
Contributions  0.02050356
Restraints     0.00014763
Chi2           2.31408499
Reduced Chi2   0.00377502
Rw             0.14368543

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O52_Phase0    9.90730828e-01 +/- 4.25796445e+13
x_O53_Phase0    9.20886957e-03 +/- 2.71458828e+12
x_O540_Phase0   2.58077049e-02 +/- 7.50343775e+12
x_O541_Phase0   9.74164982e-01 +/- 4.29104739e+13
x_O542_Phase0   4.73473901e-01 +/- 4.14743297e+13
x_O543_Phase0   5.26525896e-01 +/- 4.18635287e+13
x_O544_Phase0   9.76530296e-01 +/- 4.24220110e+13
x_O545_Phase0   2.34472380e-02 +/- 6.75115540e+12
x_O546_Phase0   5.26330337e-01 +/- 4.11577500e+13
x_O547_Phase0   4.73669528e-01 +/- 4.14986201e+13
x_O54_Phase0    5.11737565e-01 +/- 4.11613783e+13
x_O55_Phase0    4.88262972e-01 +/- 4.10617463e+13
x_O564_Phase0   4.14669649e-02 +/- 1.22499163e+13
x_O565_Phase0   9.58532638e-01 +/- 4.27282255e+13
x_O566_Phase0   4.56266291e-01 +/- 4.10598955e+13
x_O567_Phase0   5.43733509e-01 +/- 4.17864105e+13
x_O568_Phase0   9.60795684e-01 +/- 4.45811998e+13
x_O569_Phase0   3.93247512e-02 +/- 1.11616873e+13
x_O570_Phase0   5.41862848e-01 +/- 4.09548918e+13
x_O571_Phase0   4.58137112e-01 +/- 4.11440428e+13
x_O576_Phase0   2.23388791e-01 +/- 3.81648857e+13
x_O577_Phase0   7.76559873e-01 +/- 4.41444999e+13
x_O584_Phase0   6.40131168e-01 +/- 4.39651526e+13
x_O588_Phase0   1.62416745e-01 +/- 3.19533926e+13
x_O589_Phase0   8.37583262e-01 +/- 4.22228013e+13
x_O590_Phase0   3.37609031e-01 +/- 3.85903680e+13
x_O591_Phase0   6.62438496e-01 +/- 4.12598534e+13
x_O592_Phase0   8.38095997e-01 +/- 4.18900917e+13
x_O593_Phase0   1.61904318e-01 +/- 3.14778583e+13
x_O594_Phase0   6.61834284e-01 +/- 4.18176528e+13
x_O595_Phase0   3.38190785e-01 +/- 3.96882452e+13
x_O5_Phase0     4.04617401e-02 +/- 1.20194213e+13
x_O612_Phase0   2.54659075e-01 +/- 3.59777419e+13
x_O613_Phase0   7.45378118e-01 +/- 3.99377785e+13
x_O614_Phase0   2.48843506e-01 +/- 3.63144765e+13
x_O615_Phase0   7.51175336e-01 +/- 4.08071740e+13
x_O616_Phase0   7.48006514e-01 +/- 4.38906121e+13
x_O617_Phase0   2.52022559e-01 +/- 3.89645662e+13
x_O618_Phase0   7.55697193e-01 +/- 4.16216839e+13
x_O619_Phase0   2.44313363e-01 +/- 3.65376843e+13
x_O624_Phase0   3.32772027e-03 +/- 1.07990057e+12
x_O625_Phase0   9.96747151e-01 +/- 4.34747907e+13
x_O636_Phase0   2.01044948e-01 +/- 3.68470249e+13
x_O637_Phase0   7.98954991e-01 +/- 4.28450747e+13
x_O638_Phase0   3.00084664e-01 +/- 3.85919239e+13
x_O639_Phase0   6.99915498e-01 +/- 4.22741605e+13
x_O640_Phase0   7.99549850e-01 +/- 4.42647252e+13
x_O641_Phase0   2.00450091e-01 +/- 3.59930158e+13
x_O642_Phase0   7.00825540e-01 +/- 4.22002820e+13
x_O643_Phase0   2.99174733e-01 +/- 3.90269601e+13
x_O648_Phase0   1.00857798e-01 +/- 2.51717318e+13
x_O649_Phase0   8.99142037e-01 +/- 4.30327904e+13
x_O660_Phase0   1.43269626e-01 +/- 3.12248057e+13
x_O661_Phase0   8.56729896e-01 +/- 4.19693752e+13
x_O662_Phase0   3.56067048e-01 +/- 3.97022234e+13
x_O663_Phase0   6.43941563e-01 +/- 4.38897968e+13
x_O664_Phase0   8.55573377e-01 +/- 4.16805455e+13
x_O665_Phase0   1.44372781e-01 +/- 3.13803296e+13
x_O666_Phase0   6.44589820e-01 +/- 4.17994544e+13
x_O667_Phase0   3.55417027e-01 +/- 4.06332906e+13
x_O671_Phase0   3.04594565e-01 +/- 4.06135958e+13
x_O675_Phase0   1.95835709e-01 +/- 3.56050030e+13
x_O684_Phase0   7.00399662e-02 +/- 1.87265993e+13
x_O685_Phase0   9.29956870e-01 +/- 3.95774541e+13
x_O686_Phase0   4.31273348e-01 +/- 4.13389447e+13
x_O687_Phase0   5.69036743e-01 +/- 4.12610660e+13
x_O688_Phase0   9.30829166e-01 +/- 4.20868754e+13
