Results written: Fri Mar  6 16:06:21 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01738092
Contributions  0.01738092
Restraints     0.00000000
Chi2           3.60449438
Reduced Chi2   0.00539595
Rw             0.13183671

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O453_Phase0   9.27561712e-01 +/- 1.06687007e+13
x_O455_Phase0   4.28059096e-01 +/- 1.00804623e+13
x_O458_Phase0   8.11743805e-01 +/- 1.06735976e+13
x_O459_Phase0   1.88256425e-01 +/- 8.22490963e+12
x_O460_Phase0   6.87942332e-01 +/- 1.05598795e+13
x_O461_Phase0   3.12062154e-01 +/- 9.31837463e+12
x_O464_Phase0   1.02713475e-01 +/- 5.54282075e+12
x_O465_Phase0   8.97287844e-01 +/- 1.03862159e+13
x_O466_Phase0   3.98224330e-01 +/- 9.60721448e+12
x_O467_Phase0   6.01777520e-01 +/- 9.99108042e+12
x_O468_Phase0   8.97669414e-01 +/- 1.06753556e+13
x_O469_Phase0   1.02330255e-01 +/- 6.07399453e+12
x_O470_Phase0   6.02139422e-01 +/- 1.04634377e+13
x_O471_Phase0   3.97860726e-01 +/- 9.99747197e+12
x_O476_Phase0   2.97901615e-01 +/- 9.58861001e+12
x_O477_Phase0   7.02097774e-01 +/- 1.05635514e+13
x_O478_Phase0   7.98397851e-01 +/- 1.05993831e+13
x_O479_Phase0   2.01601731e-01 +/- 8.57628652e+12
x_O48_Phase0    8.85241210e-03 +/- 5.40462525e+11
x_O492_Phase0   2.33991115e-02 +/- 1.77321082e+12
x_O493_Phase0   9.76600877e-01 +/- 1.04805258e+13
x_O494_Phase0   4.76082784e-01 +/- 9.96694203e+12
x_O495_Phase0   5.23917386e-01 +/- 1.01703424e+13
x_O496_Phase0   9.75374749e-01 +/- 1.04756756e+13
x_O497_Phase0   2.46266761e-02 +/- 1.64586698e+12
x_O498_Phase0   5.23665409e-01 +/- 1.02224762e+13
x_O499_Phase0   4.76334719e-01 +/- 1.01505212e+13
x_O49_Phase0    9.91146592e-01 +/- 1.04002408e+13
x_O4_Phase0     9.60250060e-01 +/- 1.05324401e+13
x_O50_Phase0    4.90876017e-01 +/- 1.00275542e+13
x_O516_Phase0   1.03330466e-01 +/- 5.46919087e+12
x_O517_Phase0   8.97185721e-01 +/- 9.66194479e+12
x_O518_Phase0   3.97484255e-01 +/- 9.80811566e+12
x_O519_Phase0   6.02516125e-01 +/- 1.02464633e+13
x_O51_Phase0    5.09123799e-01 +/- 1.00473015e+13
x_O520_Phase0   8.97777461e-01 +/- 1.04417831e+13
x_O521_Phase0   1.02223786e-01 +/- 5.40507233e+12
x_O522_Phase0   6.02502793e-01 +/- 1.01505143e+13
x_O523_Phase0   3.97496727e-01 +/- 9.84401416e+12
x_O52_Phase0    9.91144010e-01 +/- 1.04224276e+13
x_O53_Phase0    8.85539721e-03 +/- 5.88398179e+11
x_O540_Phase0   2.52552563e-02 +/- 1.60184733e+12
x_O541_Phase0   9.74745830e-01 +/- 1.04753553e+13
x_O542_Phase0   4.74123840e-01 +/- 1.00677363e+13
x_O543_Phase0   5.25876851e-01 +/- 1.01058641e+13
x_O544_Phase0   9.76251645e-01 +/- 1.04384198e+13
x_O545_Phase0   2.37481292e-02 +/- 1.67368293e+12
x_O546_Phase0   5.25450643e-01 +/- 1.01243912e+13
x_O547_Phase0   4.74549170e-01 +/- 1.00232273e+13
x_O54_Phase0    5.09918910e-01 +/- 1.00552953e+13
x_O55_Phase0    4.90081110e-01 +/- 9.99158614e+12
x_O564_Phase0   3.98892945e-02 +/- 2.30580714e+12
x_O565_Phase0   9.60109747e-01 +/- 1.04574347e+13
x_O566_Phase0   4.58840300e-01 +/- 1.01618179e+13
x_O567_Phase0   5.41159342e-01 +/- 1.00752116e+13
x_O568_Phase0   9.60815686e-01 +/- 1.06858988e+13
x_O569_Phase0   3.91868078e-02 +/- 2.60552998e+12
x_O570_Phase0   5.40482061e-01 +/- 1.01030258e+13
x_O571_Phase0   4.59517868e-01 +/- 9.83112426e+12
x_O576_Phase0   2.24044618e-01 +/- 8.82713323e+12
x_O577_Phase0   7.75954798e-01 +/- 1.06125579e+13
x_O584_Phase0   6.39846995e-01 +/- 1.04218707e+13
