Results written: Tue Mar  3 12:06:35 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01692013
Contributions  0.01673835
Restraints     0.00018178
Chi2           3.41787230
Reduced Chi2   0.00528265
Rw             0.13006319

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O479_Phase0   2.01656165e-01 +/- 2.26543602e+13
x_O48_Phase0    9.03859590e-03 +/- 1.46760312e+12
x_O492_Phase0   2.35554817e-02 +/- 4.27828512e+12
x_O493_Phase0   9.76444543e-01 +/- 2.79905006e+13
x_O494_Phase0   4.75873325e-01 +/- 2.67358125e+13
x_O495_Phase0   5.24126961e-01 +/- 2.69145747e+13
x_O496_Phase0   9.75375525e-01 +/- 2.80053206e+13
x_O497_Phase0   2.46252370e-02 +/- 4.14630383e+12
x_O498_Phase0   5.23731813e-01 +/- 2.66832477e+13
x_O499_Phase0   4.76268510e-01 +/- 2.68008597e+13
x_O49_Phase0    9.90961043e-01 +/- 2.77097558e+13
x_O4_Phase0     9.60281016e-01 +/- 2.80386664e+13
x_O50_Phase0    4.90663191e-01 +/- 2.62370264e+13
x_O516_Phase0   1.02821847e-01 +/- 1.43116375e+13
x_O517_Phase0   8.97179741e-01 +/- 2.74302124e+13
x_O518_Phase0   3.97352538e-01 +/- 2.62900083e+13
x_O519_Phase0   6.02647559e-01 +/- 2.68265589e+13
x_O51_Phase0    5.09336667e-01 +/- 2.66424870e+13
x_O520_Phase0   8.97868641e-01 +/- 2.78739827e+13
x_O521_Phase0   1.02131758e-01 +/- 1.51705556e+13
x_O522_Phase0   6.02141837e-01 +/- 2.72611055e+13
x_O523_Phase0   3.97857367e-01 +/- 2.61837774e+13
x_O52_Phase0    9.90971191e-01 +/- 2.78654648e+13
x_O53_Phase0    9.02895983e-03 +/- 1.65203042e+12
x_O540_Phase0   2.53028504e-02 +/- 4.05252997e+12
x_O541_Phase0   9.74697481e-01 +/- 2.79256016e+13
x_O542_Phase0   4.74131831e-01 +/- 2.67394633e+13
x_O543_Phase0   5.25868965e-01 +/- 2.72595703e+13
x_O544_Phase0   9.76248955e-01 +/- 2.78267654e+13
x_O545_Phase0   2.37511179e-02 +/- 4.37026683e+12
x_O546_Phase0   5.25502960e-01 +/- 2.74351142e+13
x_O547_Phase0   4.74496630e-01 +/- 2.69210546e+13
x_O54_Phase0    5.10234384e-01 +/- 2.67644631e+13
x_O55_Phase0    4.89765473e-01 +/- 2.63304026e+13
x_O564_Phase0   3.99567261e-02 +/- 6.67099513e+12
x_O565_Phase0   9.60043059e-01 +/- 2.77859588e+13
x_O566_Phase0   4.58736370e-01 +/- 2.71182836e+13
